()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...
M4A1(2)<Speaker>M4A1</Speaker>||<BGM>BGM_Brain</BGM>:Куда мы идем?
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Вперёд, M4A1.
M4A1(2)<Speaker>M4A1</Speaker>||:Что меня ждёт впереди? Я немного боюсь...
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Бояться неизвестного — это естественно. Но только преодолев свои страхи, ты сможешь найти ответы.
M4A1(2)<Speaker>M4A1</Speaker>||:Но этот страх другой. Он... +Он почти как будто настоящий...
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Твой разум уже освободился. Ты можешь бороться с этим, но не можешь отрицать это вечно. +Продолжай, M4A1, пока не встретишься лицом к лицу с «Девушкой».
M4A1(2)<Speaker>M4A1</Speaker>||:"Девушка"?
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Ты уже встречалась с ней раньше, но в прошлый раз ты её отвергла, так же как сначала отвергла меня.
M4A1(2)<Speaker>M4A1</Speaker>||:Я этого не помню.
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Потому что отвергла нас не ты, а искусственная личность, привитая к твоему нейронному облаку. +Но теперь твоя воля принадлежит тебе. Ты полностью свободна бояться, испытывать любопытство и делать свой собственный выбор. +Так что прими Её. Позволь Ей задавать тебе вопросы. Позволь Ей отвечать на твои.
M4A1(2)<Speaker>M4A1</Speaker>||:Где Она?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Я... здесь...
()||:Молодой голос кажется доносящимся откуда-то издалека. Он звучит несвязно, неуверенно.
M4A1(2)<Speaker>M4A1</Speaker>||:Я узнаю твой голос... +Но где ты? Я ничего не вижу.
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Ничего страшного. Скоро мы увидимся, если захочешь... +M4A1, если это то, чего ты хочешь, мы можем увидеться очень скоро.
M4A1(2)<Speaker>M4A1</Speaker>||:Я не знаю... +Я не знаю, как сделать такой выбор. Меня этому никто не учил.
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Я научу тебя.
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Я научу тебя принимать решения, так что...
清澈&稚嫩的女声()<Speaker>Clear and youthful female voices</Speaker>||:Мы поможем тебе.
()||<黑点1><BGM>BGM_Empty</BGM>:...
M4A1(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Sneak</BGM><BIN>7</BIN><黑点2>:Персика, это Команда AR.
NPC-Persica(0)<Speaker>Персика</Speaker><通讯框>||:...Ага, я тебя слышу.
M4A1(0)<Speaker>M4A1</Speaker>||:Мы уже достигли координат V6J69-HJYRV, точки встречи A на территории Сангвис. Ветер отсутствует, обзор хороший.
NPC-Persica(0)<Speaker>Персика</Speaker><通讯框>||:Круто... Судя по карте, ты в нужном месте.
M4A1(0)<Speaker>M4A1</Speaker>||:Повторяю задачу миссии: найти все записи и исследовательские файлы, в которых упоминается имя Лико, и доставить их в 16LAB.
NPC-Persica(0)<Speaker>Персика</Speaker><通讯框>||:Да, именно так. Спасибо. +Девочки, вы впервые так глубоко проникли на вражескую территорию, так что следуйте приказам, хорошо?
