()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>169</BIN><黑屏2><BGM>BGM_Room</BGM>:...За пределами карантинной стены.
()<Speaker></Speaker>||:Ange activates her comms.
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Я помню, что говорил тебе больше не болтать лишнего.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:... +В карантинной стене произошёл очередной прорыв. Сейчас мы пытаемся взять ситуацию под контроль.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Твоя задача — собрать разведданные об узле системы «Щука», а не заниматься ликвидацией последствий.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Если ситуация станет еще хуже, мы не сможем вести разведку. +Даже если нам не оказывают поддержку, дай мне хотя бы что-нибудь, с чем можно работать? Что там у вас?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Ты имеешь в виду с Грифоном?</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Да. +В чем заключается задача Командира?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Командир отвечает за личную безопасность Председательницы Союза.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Тц... у тебя хватило смелости так им довериться. +Я ещё помню, как говорила тебе не втягивать этого Командира в свою проблему.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Какое совпадение. Мы довольно редко сходимся во мнениях.</color> +<color=#00CCFF>Однако участие Командира просто необходимо.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Ты действительно готов поручить эту задачу «постороннему»?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Ты пытаешься защитить Командира?</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:...Я этого не говорила.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Даже если Командир — чужак, то, по крайней мере, Грифон сможет сохранить последнюю искру надежды, работая вместе с нами.</color> +<color=#00CCFF>...Итак, ты всё ещё хочешь положить этому конец?</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Ситуация с Грифоном меня не касается.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Серьезно? Я думал, ты к этому месту привязалась, учитывая, сколько времени там провела. +<color=#00CCFF>Кстати, в последней операции мы потеряли всех наших агентов. +<color=#00CCFF>Теперь Командир Грифона — единственная сила, на которую мы можем положиться в бою.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:... +Я уверена, что Командир вполне способен выполнить эту миссию...
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>IВсё так, как ты и сказалв. Отступление проходит без сучка и задоринки.</color> +<color=#00CCFF>Ладно, если это вся информация, которая тебе нужна, можешь теперь приступать к выполнению своей задачи?</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>||:...Тц.
()<Speaker></Speaker>||<黑屏1>:—Соединение завершено.
