()||<BIN>9</BIN><BGM>BGM_Brain</BGM>:...
M4A1()<Speaker>M4A1</Speaker>||:Непростительно... Непростительно! Я тебя убью!
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Это была не я.
M4A1()<Speaker>M4A1</Speaker>||:Заткнись, лгунья! Убирайся! +Я тебя убью!
()||:...
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Она снова меня отвергла. У нас будет ещё один шанс?
代理人()<Speaker>Агент</Speaker>||:Время на исходе, Мастер. +Военные уже прибыли в указанное место. +Все приготовления завершены. Можем ли мы приступить к реализации окончательного плана?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Почему... +Что же произошло...? +Я больше не слышу её...
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Из-за вмешательства людей связь была полностью прервана. +Она сделала свой выбор. Теперь ты должна сделать свой. +Не волнуйся. Я буду присматривать за ней. +Но для тебя... время на исходе... +...Элиза.
主脑·伊莱莎()<Speaker>Владыка/Элиза</Speaker>||<黑屏1>:Я понимаю. +Жаль, но давай сделаем это. +Агент, раскройте всю мощь Параплюй.
()||<BIN>9</BIN><黑屏2>:...Тем временем, во временном командном штабе военных.
经过电子处理的男声()<Speaker>Искаженный мужской голос</Speaker>||:Началось... Наконец-то началось! +Сангвис Ферри полностью активирует Параплюй. Давайте добавим остроты в их шоу. +Картер, каково состояние твоих сил?
NPC-Carter(0)<Speaker>Картер</Speaker>||:Наши войска уже отступили. Механические подразделения остались на линии обороны, как и планировалось. +Активная система обороны на уровне II отключена, пока соединение с главным сервером открыто.
经过电子处理的男声()<Speaker>Искаженный мужской голос</Speaker>||:Хорошо. Очень хорошо.
NPC-Carter(0)<Speaker>Картер</Speaker>||:Вы уверены, что Владыка способна получить то, что мы хотим, с помощью неё?
经过电子处理的男声()<Speaker>Искаженный мужской голос</Speaker>||:О чем ты говоришь? +Это вирус Параплюй, которым мы так гордимся. Наша милая леди может делать с ним всё, что ей заблагорассудится.
NPC-Carter(0)<Speaker>Картер</Speaker>||:Я с нетерпением жду этого, хотя ирония судьбы заключается в том, что мы ставим будущее страны на карту, делая ставку на этих Т-Кукол...
经过电子处理的男声()<Speaker>Искаженный мужской голос</Speaker>||:Давным-давно наш прекрасный, мирный мир был разрушен из-за нескольких детей. +Разве это не то, что называется «судьбой»? Это интересно именно потому, что непредсказуемо. +Кстати, я весьма удивлен, что такая небольшая компания, как Грифон, сыграла столь важную роль.
NPC-Carter(0)<Speaker>Картер</Speaker>||:Хотя их роль подходит к концу.
()||:...Картер склонил голову и усмехнулся.
NPC-Carter(0)<Speaker>Картер</Speaker>||<黑屏1>:Крюгер, я оставлю извинения до нашей следующей встречи. К тому времени ты, вероятно, уже будешь в тюрьме.
()||<黑屏2><BIN>8</BIN><BGM>BGM_Danger</BGM>:...Между тем, Контроль управления Грифона.
NPC-Kalin(4)<Speaker>Калин</Speaker>||:Командир, это чрезвычайная ситуация! +Некоторые из наших Т-Кукол внезапно перестали получать приказы и начали атаковать наши логистические объекты! +Ситуация временно под контролем, но, согласно различным сообщениям, мы также подвергаемся атаке со стороны нескольких боевых единиц!
()||:...Клик. Клик.
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:Командир, наша... система связи подвергается... массированной атаке...
()||:(Static)
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:...почти полностью парализованы...
()||:(Static)
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:...полагаю... заражены более мощной версией вируса Параплюй! +Командир, ваши силы находятся в зоне действия... +Заберите с собой всех незараженных Т-Кукол и немедленно отступайте!
NPC-Kalin(4)<Speaker>Калин</Speaker>||:Командир, а что с М4 и остальными?! +Их местоположение полностью в зоне Параплюй... Наши Т-куклы сойдут с ума, как только ступят туда! +Даже команда AR и сёстры Каркано уже могут быть... +И мы ничего не можем сделать... +Почему... Как это могло случиться...? Мы же обещали им...
()||:...Клик.
SoundOnly()<Speaker>Только звук</Speaker>||<黑屏1>:Командир Грифона. +Ты доверишься мне? +Не пытайся отследить мой сигнал. Сейчас не время для этого. По крайней мере, не я твой враг. +Если ты доверяешь мне так же, как Персике... +...дай мне координаты М4А1. +...Я ничего не могу гарантировать. Всё, что я могу сделать, — это загладить свою вину за то, что я сделала раньше. +Не нужно меня благодарить. Мне за это платят. +Ты сегодня хорошо сражался, но команда AR — не твои единственные подчинённые. +Защити всех Т-Кукол, кого сможешь, а остальных оставь мне. Удачи нам обоим.
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||<黑屏2><BIN>10</BIN>:Внимание, всему персоналу Грифона в зоне S11! Внимание, всему персоналу Грифона в зоне S11! +В зоне S09 произошла чрезвычайная ситуация. В зоне царит полный хаос! +В настоящее время мы координируем масштабное отступление из зоны, и наши войска будут проходить через зону S11! +Все командиры, находящиеся в режиме ожидания, немедленно явитесь в свой командный центр! +Весь персонал Грифона в зоне S11 должен приготовиться к бою. Отразите атаку Сангвис и защитите как можно больше наших войск! +Внимание, весь персонал Грифона в зоне S11! Внимание, весь персонал Грифона в зоне S11! +На боевые посты! Отразите атаку Сангвис и защитите как можно больше наших войск!
NPC-Kalin(4)<Speaker>Калин</Speaker>||<黑点1>:Нам не остается ничего другого, как довериться этому человеку. +Они правы, Командир, многие из наших Т-Кукол ждут спасения! +Мы должны обеспечить им свободный проход и помочь им сбежать!

