()||<BGM>BGM_Boss</BGM><BIN>2</BIN>:Тем временем на поле боя появляется отряд Т-Кукол...
MG3(0)<Speaker>MG3</Speaker>||:Зачистка завершена. Это была последняя волна, верно?
MP5(0)<Speaker>Gr MP5</Speaker>;MG3(0)||:Может, перепроверим? Не бывает чрезмерной осмотрительности.
MP5(0);MG3(0)<Speaker>MG3</Speaker>||:Все должно быть в порядке. Я уже совершила несколько обходов. Если, конечно, мимо не будут проходить еще Сангвисы...
MP5(0)<Speaker>Gr MP5</Speaker>;MG3(0)||:Эм... Пожалуйста, держитесь!+Я слышу сильный сигнал Сангвиса. Он очень близко!
MP5(0);MG3(0)<Speaker>MG3</Speaker>||:Что?! Где? Найдите его, быстро!
Executioner()<Speaker>Палач</Speaker>||<黑屏1>:В этом нет необходимости. Я здесь!
BOSS-2(0)<Speaker>Палач</Speaker>||<黑屏2>:Утречко, Грифон.
MG3(0)<Speaker>MG3</Speaker>;BOSS-2(0)||:Чего ты хочешь?! Мы не сдадимся без боя!
MP5(0)<Speaker>Gr MP5</Speaker>;BOSS-2(0)||:Стой, MG3!
MP5(0);BOSS-2(0)<Speaker>Палач</Speaker>||:Успокойтесь. Вы двое не стоите моих усилий.+Я ищу Т-Куклу. Черные волосы, бандана с черепом...+Вооружена штурмовой винтовкой M4A1 и выглядит как глупышка. Вы ее видели?
MP5(0)<Speaker>Gr MP5</Speaker>;BOSS-2(0)||:M4A1...? Мы не видели ни одной Т-Куклы с таким описанием...
MP5(0);BOSS-2(0)<Speaker>Палач</Speaker>||:...+Хмф. Она продолжала бегать, чтобы не подвергать вас опасности.+Я поняла. Значит, она боится моей силы.+ Тогда посмотрим, как далеко ты сможешь убежать, М4! Хахахахаха!
MP5(0)<Speaker>Gr MP5</Speaker>||:Она... она убежала...
MP5(0);MG3(0)<Speaker>MG3</Speaker>||:Что... это было?
MP5(0)<Speaker>Gr MP5</Speaker>;MG3(0)||<黑屏1>:Фух... (Вздох облегчения)+В любом случае, мы в целости и сохранности. Давайте вернемся и сообщим о случившемся.
