 ()||<BGM>BGM_Sneak</BGM><BIN>3</BIN><Night>:Войска Грифона прибыли на базу.
M1928A1(0)<Speaker>Томпсон</Speaker>||:Прекрасно сделано, Босс. Теперь позвольте мне обсудить наш следующий шаг с PIC этой миссии. +1911, как слышите?
M1911(0)<Speaker>M1911</Speaker><scan><通讯框>;M1928A1(0)||:Вы пришли намного раньше времени. Похоже, Командиру не терпится меня увидеть.
M1911(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:О, пожалуйста. Мне нужно отправить сюда кого-нибудь. Есть варианты?
M1911(0)<Speaker>M1911</Speaker>;M1928A1(0)||:Эта база используется в основном для разведки. Лучше оставить ее для Т-кукол с пистолетом.
M1911(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:А пистолет, да. Кто еще, кроме тебя, может справиться с этой задачей...
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:Позвольте мне сделать это, мисс Томпсон! Я сделаю это даже лучше, чем в 1911 году!
M9(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:У тебя отличная смелость. Грифону нужны такие воодушевленные Т-Куклы, как ты.
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:Хмф. Я использую любой шанс, чтобы доказать, что я лучше, чем одна старая карга.!
M9(0)<Speaker>M1911</Speaker>;M1928A1(0)||:Я слышала это, М9...
M9(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:В любом случае, я оставляю обязанности по разведке на тебя, М9. А теперь, Т-Кукла, чтобы защитить тебя...
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:В этом нет необходимости. У нас и так не хватает персонала, верно? + Я справлюсь и сама, если это будет просто разведка. Не стоит недооценивать мой навык совершать удачные вылазки.
M9(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:Не пытайся быть слишком храброй, М9. Битва непредсказуема.
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:Я сражалась с кучей Сангвисов вместе с Командиром. Не беспокойся обо мне.
M9(0);M1928A1(0)<Speaker>Томпсон</Speaker>||:Хорошо. Тогда будьте осторожны. Давайте продолжим.
