()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:Тем временем в укрытии M16A1...
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:(Вздох)+Я похвасталась, что позвонила, но вообще-то я была бы благодарна за помощь.+ Хотя...
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>26</BIN><BGM>BGM_Sneak</BGM>:Полагаю, ты здесь не для того, чтобы помочь, не так ли?
???()<Speaker>???</Speaker>||:Сангвис был бы более приятным зрелищем, чем я, не так ли?
M16A1()<Speaker>M16A1</Speaker>||:Это не имеет значения в любом случае. Не то чтобы я этого не предвидела.+Но как Т-Кукла Грифона, ты должна хотя бы указать причину убийства кого-то, кроме отрядов Сангвиса.
???()<Speaker>???</Speaker>||:С правами, принадлежащими только Отряду 404, я могу атаковать любую Т-Куклу, мешающую моим действиям, как друга, так и врага.
M16A1()<Speaker>M16A1</Speaker>||:Черт... Какие удобные права. Я немного завидую.
???()<Speaker>???</Speaker>||:Заткнись, М16!+Ты знаешь... цену, которую придется заплатить...
M16A1()<Speaker>M16A1</Speaker>||:(Пожимает плечами) ...Серьезно, неужели я и правда такая неприятная?
???()<Speaker>???</Speaker>||:Честно говоря, я никогда не была особенно рада своему разрешению... до сих пор.
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:Честно говоря, ты мне очень понравилась еще в «Национальной безопасности». Но это было тогда.+ А сейчас мы наконец-то демонстрируем свою способность...
HK416(0)<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:...HK416.
HK416(0)<Speaker>416</Speaker>||<黑屏1>:Начнем, M16A1.+ Наконец-то. На этот раз ты не сможешь убежать.
