 ()||<BGM>BGM_NightOPS</BGM><BIN>30</BIN>:Часом позже в воздушном пространстве над спорной территорией в зоне S06.
UMP9()<Speaker>UMP9</Speaker>||:Эй, Gr G11! Хватит спать, готовься к бою!
G11()<Speaker>Gr G11</Speaker>||:Ууу... Я не могу... Мне нужно время, чтобы восстановиться... +416-ая упала на меня и сломала мне спину во время взрыва.
HK416()<Speaker>416</Speaker>||:Ну извини, в следующий раз тогда, оставлю тебя разлетаться на миллион кусочков.
G11()<Speaker>Gr G11</Speaker>||:Мне пофиг... Я развалюсь, если не полежу. Я хочу домой...
UMP9()<Speaker>UMP9</Speaker>||:Вставай, мы ничего не получим, если сейчас не уйдем! (Пинок)
G11()<Speaker>Gr G11</Speaker>||:Уууууууу...
HK416()<Speaker>416</Speaker>||:Хватит издеваться над ней, 9-ая, и смотри за их ПВО.
UMP9()<Speaker>UMP9</Speaker>||:Все будет в норме. У этого самолёта имеется активный камуфляж. Нас не заметят, если только Мечтательница не окажется здесь.
HK416()<Speaker>416</Speaker>||:Кстати, об этом самолёте... Где вы, девчата, нашли его?
UMP9()<Speaker>UMP9</Speaker>||:Разведгруппа Грифона оставила его здесь. Gr G11 нашла его и сообщила 45-ой.
HK416()<Speaker>416</Speaker>||:(Вздох) Значит, вы, обманули меня и я напрасно потратила время...
UMP9()<Speaker>UMP9</Speaker>||:Обмани ближнего своего, и обманишь врага своего. Не так ли, Gr G11, маленькая хитрюга? (Пинок)
G11()<Speaker>Gr G11</Speaker>||:Уууууууу...
HK416()<Speaker>416</Speaker>||:Ладно, хватит дурачиться. Хелиан вызывает нас, будьте внимательнее.
赫丽安()<Speaker>Helian</Speaker>||:Отряд 404, только что пришло сообщение от нашего разведчика в зоне S06.+Сангвис разместил радиолокаторы, которые покрывают все воздушное пространство на вашем пути.
G11()<Speaker>Gr G11</Speaker>||<黑屏1>:Значит... нам пора на выход?
NPC-Helian(0)<Speaker>Хелиан</Speaker><scan><通讯框>||<BIN>10</BIN><黑屏2>:Мы все еще пытаемся определить местонахождение глушилки. Вы будете ждать?
UMP45(0)<Speaker>UMP45</Speaker>||:Ну... +Мы сейчас находимся недалеко от тыловой части аванпоста Зоны S06. Если мы высадимся сейчас, то окажемся в выгодном положении для внезапной атаки.
NPC-Helian(0)<Speaker>Хелиан</Speaker><scan><通讯框>;UMP45(0)||:Ты планируешь захватить командира на заставе, чтобы узнать местоположение глушилки?
NPC-Helian(0);UMP45(0)<Speaker>UMP45</Speaker>||:Да. У нас не так много времени, поэтому нам лучше взять инициативу в свои руки.
NPC-Helian(0)<Speaker>Хелиан</Speaker><scan><通讯框>;UMP45(0)||:Очень хорошо. Согласно нашему отчету, командир, находящийся на аванпосте, - Охотница. Она прошла модификацию «Элита». Будьте осторожны.
UMP45(0)<Speaker>UMP45</Speaker>||:Принято. Все поняли нашу задачу?
G11(0)<Speaker>Gr G11</Speaker>||:Найдите Охотницу и захватить ее.
HK416(0)<Speaker>416</Speaker>||:Не будет ничего сложного, если даже Команда AR уже побеждала ее раньше.
UMP9(0)<Speaker>UMP9</Speaker>||:Как всегда, да? Поехали.
