()||<BIN>99</BIN><BGM>BGM_Room</BGM>:...Сражение окончено.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Фух... всё закончено?
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Это дорого нам обошлось, но я думаю, что мы обеспечили безопасность маршрута встречи.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Не просто "я думаю". Ты уже сделала это. + Посмотри на троих вон там.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>99</BIN>:...
AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Отличная работа, AN94.
AN94(0)<Speaker>AN-94</Speaker>||<BIN>99</BIN>:...Это пустяк. Это самое малое, что я могу сделать.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BIN>99</BIN>:Анже, ты действительно пришла лично.
AR15Mod(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Верно, я супер начальница, которая не гнушается рисковать жизнью ради защиты своих людей. Как насчет благодарности?
AR15Mod(0)<Speaker>ST AR-15</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:(Вздыхает) Это вполне в твоём стиле, и кто я такая, чтобы что-то говорить? +В любом случае, вот наш новый участник, как ты и просила.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:... +Выглядит неплохо. Похоже, финальная нейро-модернизация прошла очень хорошо... +Не так ли, M4A1?
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<BIN>99</BIN><黑屏1>:...Как поживаете, мисс Анже. + Я M4A1, и жду ваших приказов.

