()||<BIN>8</BIN><BGM>BGM_Sunshine</BGM>:Аванпост Сангвис успешно ликвидирован. Безопасность транспортного маршрута подтверждена.
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:Отличная работа, Командир. Раненые Т-Куклы должны прибыть с минуты на минуту.+Эти Т-Куклы особенно ценны, потому что они могут быть свидетелями определенных разведданных.+Если сведения окажутся верными, это может означать открытую войну между нами и Сангвис Ферри.+...Да, «мы», и в том числе ваши отряды, Командир.
 ()||:...Клик.+Сзади Хелиана раздается сигнал.
NPC-Helian(0)<Speaker>Хелиан</Speaker>||<黑屏1>:О? Похоже, Т-Куклы вернулись.+Пожалуйста, извините меня.
 ()||<BIN>22</BIN><BGM>BGM_Room</BGM><黑屏2>:Штаб-квартира Грифона. Поврежденные Т-Куклы прибыли на Фабрику.
MAC10(1)<Speaker>Ингрэм</Speaker>||:Хм, значит, мы уже вернулись...+Ни малейшего развлечения за все время. Мне было скучно до слез.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:Оставь это, Ингрэм.+Если бы не Т-Куклы, пришедшие на помощь штабу, у вас были бы большие проблемы.
NPC-Helian(0);MAC10(1)<Speaker>Ингрэм</Speaker>||:Тск. Для меня это был шанс подвергнуть свою жизнь риску..+В конце концов, чем рискованнее, тем больше я получаю удовольствия от боя.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:Не в этот раз, Ингрэм.+Вы одни из немногих выживших, кто еще способен говорить. Мне нужно кое-что подтвердить.
NPC-Helian(0);MAC10(1)<Speaker>Ингрэм</Speaker>||:Отлично, ты босс. Как скажешь.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:Что случилось с СТГ-44 и ППШ-41, вы помните?
NPC-Helian(0);MAC10(1)<Speaker>Ингрэм</Speaker>||:Я знаю только то, что Агент добрался туда. Похоже, она спешила, преследуя что-то.+Нам удалось выбраться живыми только потому, что мы не были ее целью.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:Хм...+VZ-61 - единственный, кто до сих пор не обнаружен. Вы двое близки, не так ли? Ты знаешь ее местонахождение?
NPC-Helian(0);MAC10(1)<Speaker>Ингрэм</Speaker>||:(Пожатие плечами) Простите, но тогда я не была на передовой.+Однако... если она еще жива, то наверняка найдет способ оставить после себя какие-нибудь зацепки.+Эта девушка... может быть очень проницательной, когда это важно.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:...Понятно.+Это все, что мне от тебя нужно. Иди и займись восстановлением.
NPC-Helian(0);MAC10(1)<Speaker>Ингрэм</Speaker>||:...мисс Хелиан.+Сможем ли мы отомстить... за Skorpion и всех остальных Т-Кукол?
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MAC10(1)||:...+Поторопись и подлатай себя, Ингрэм.+Очень скоро... вы сможете получить свою порцию удовольствия.
MAC10(1)<Speaker>Ингрэм</Speaker>||<黑屏1>:(Улыбается) ...Понятно.+Это именно то, что я хотела бы услышать.
