()||<BIN>3</BIN><BGM>BGM_Room</BGM>：......
RO635(3)<Speaker>RO635</Speaker>||：(Тяжело дышит) Мы... оторвались от них... верно?
RO635(3);SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||：Думаю, да... Я не улавливаю никаких сигналов.
RO635(3)<Speaker>RO635</Speaker>;SOPII(3)||：(Тяжело дышит) Преследовать Судью пешком... Мы не только не смогли ее поймать (задыхается), но и сами попали в зону помех. Вся наша связь полностью заблокирована, а нас ищет несколько сотен солдат Сангвиса, чтобы убить... +(Задыхается) У нас почти кончились патроны и энергия... А хуже всего то, что приходится таскать с собой этот большой чемодан... (задыхаясь)... Если бы я знала, что мне придется так мучиться... я бы... я бы осталась с командой Palette. По крайней мере, ворчание AAT не смертельно... или, по крайней мере, не так скоро... (Тяжело дышит)...
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Пфф... хахахаха!
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||：Как... ты всё ещё...(тяжело дышит) спосбна смеяться... в такой момент...?
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Прости, прости. Просто ты без конца тараторишь! Разве ты не должен быть ярким примером профессионализма, RO635?
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||：Тч... ты подловила меня...
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Что? Ты уже выдохлась?+Тебе нужно больше заниматься спортом, RO, и больше заниматься организацией.
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||：Цыц! Это потому, что я Т-Кукла командного типа!+Но ты... Откуда у тебя такая выносливость?
RO635(4);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Потому что это моя специальность. В команде AR я специализируюсь на выслеживании на больших расстояниях! Это моя роль!
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||：(Вздох) А я-то думала, что твоя роль заключается в допросе после того, как мы выследим цель, хотя это и трудно назвать допросом...
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Извини, что заставляю тебя волноваться, но я не хотела упустить шанс найти M16.+Раньше ты всегда говорила так серьезно, RO, и мне всегда казалось, что между нами была какая-то преграда. А сейчас ты гораздо милее!
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||：Милая? Разве сейчас время называть меня милой?!
RO635(4);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Такая сердитая сторона твоей личности тоже очень милая.
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||：Не рассчитывай, что тебе удастся выйти из этой ситуации с помощью лести. Я неоднократно говорила тебе, что нужно следовать инструкциям. Ты понимаешь последствия своих действий?
RO635(4);SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||：Я знаю... но я должна была ХОТЬ ЧТО-ТО сделать... + Разве ты не такая же, RO? Ты могла бы остаться, но все же решила пойти со мной.
RO635(3)<Speaker>RO635</Speaker>;SOPII(2)||：(Вздыхает) Это потому, что я обещала командиру, что верну вас всех. И тебя, и М16.
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：М-м... Я верю в тебя, ведь ты доказала, что держишь свои обещания. Теперь ты настоящий член команды AR.
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||：Я очень счастлива услышать это от тебя... но что нам теперь делать?
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Я не знаю... Мне очень хочется спать...
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||：Ты, наверное, уже на пределе... В конце концов, ты не отдыхала целый день.+Отдохни сейчас. Я буду дежурить.
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>：Мне нужно придумать способ восстановить связь... Но как...

