()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:Meanwhile, at M16A1's hiding spot...
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:Tsk...+I'm just about to retreat. Please tell me you're not here to finish after 416...
UMP45(0)<Speaker>M16A1</Speaker>||<黑屏2>:...UMP45.
UMP45(0)<Speaker>UMP45</Speaker>||:... ♪+Я на подобное не куплюсь. Разве у вас нет двух «больших мальчиков» на этот случай?
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:О, эти... Я не думаю, что они предназначены для тебя... +... Что скажешь?
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:...Также♪+В конце концов, я просто собираюсь вернуться домой после хорошо проделанной работы, прихватив по пути 416.
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:Ну разве ты не смелая? Действовать в одиночку, когда твой отряд не так уж велик.
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||: Одной 9 более чем достаточно, чтобы справиться с таким пустяковым заданием. +416 выполнила свою часть работы, поэтому я предоставила ей возможность отдохнуть.
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:И ее идея насладиться отпуском - это сломать мне ноги... +( Горький смех) Вы, ребята, единственные в своем роде, 45. Единственные...
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:Релакс. 416 не собиралась тебя убивать. Она просто немного расстроилась.
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:Я знаю. Именно поэтому я и сохранила ей жизнь.
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:Я знаю. Поэтому я также сохраню и твою.
M16(0)<Speaker>M16A1</Speaker>;UMP45(0)||:Ха, как выгодно. Договорились.
M16(0);UMP45(0)<Speaker>UMP45</Speaker>||:Но если ты сейчас вернешься, М16, ты потеряешь жизнь, которую я пощадила.
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:...Ох? +Не стоит недооценивать технологию нейро-облака 16Lab. Я так просто не умру. +45, чему ты научилась... на этой миссии?
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>9</BIN>:Вот. Подойди ближе.+ (Шепотом) «На равнине идет дождь».
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:Дождь? Равнина? ...Что за хрень?
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:Журналы связи, перехваченные в результате проникновения в ближний квартал с 1500 до 1700.+В общей сложности 41 960 результатов, включая упоминания о заграждении, противоречащие основным стратегиям боя...+Если тебе интересно, то взгляни на эту сравнительную таблицу. А главное, полюбуйся, что она хочет делать дальше...
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:Эй, не входи в режим воспроизведения.+Не можешь сохранить в своем маленьком мозгу какой-нибудь понятный язык?
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:Твой создатель может понять, что это значит.
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:Что... ты сказала?
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏2><BIN>18</BIN>:...Хехехе♪ Тогда мы собираемся уходить..+Если вы столкнётесь со своими товарищами в Грифоне, просто скажите им...
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||:Что тебя уничтожили. Да, я знаю правила.
M16(3);UMP45(0)<Speaker>UMP45</Speaker>||:Хехехе♪ Вот и все. До следующей встречи.
M16(3)<Speaker>M16A1</Speaker>;UMP45(0)||<黑屏1>:(Вздох) Я молюсь, чтобы следующего раза не было...+Вы, отмороженные...
