()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:...
？？()<Speaker>???</Speaker>||<黑屏1>:...45-я? Проснись! UMP45!
UMP45()<Speaker>UMP45</Speaker>||<BIN>70</BIN><黑屏2>:Хмм...
UMP45(2)<Speaker>UMP45</Speaker>||:Как... долго я спала?
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:Не слишком долго. Сьер сказала нам, что твоя перенастройка завершена, и попросила нас забрать тебя, но...
UMP45(2);HK416(0)<Speaker>416</Speaker>||:Но очень интересно, что ты спала с широко открытыми глазами. Никогда раньше такого не видела.
UMP45(2);G11(0)<Speaker>Gr G11</Speaker>||:Выглядело так, будто твоя система вышла из строя.
UMP45(2)<Speaker>UMP45</Speaker>;G11(0)||:... +Я была немного дезориентирована из-за внезапного отключения... Думаю, я не успела закончить битву.
UMP45(2);NPC-Seele(0)<Speaker>Сьер</Speaker>||:Извините, мисс 45-я, но произошла чрезвычайная ситуация... +Во время проверки сети внезапно был обнаружен сигнал неизвестной Т-Куклы.
HK416(2)<Speaker>416</Speaker>;NPC-Seele(0)||:Незваный гость? Может быть, это Сангвис Ферри?
HK416(2);NPC-Seele(0)<Speaker>Сьер</Speaker>||:Нет, это был сигнал Грифона. Какая-то Т-Кукла, наверное, случайно попала в сеть. +Думаю, какая-то новая Т-Кукла, наверное, подключилась не к тому порту, когда получала разрешение на регистрацию. +Дьер, наверное, перепутал порты, когда был в отключке.
G11(2)<Speaker>Gr G11</Speaker>;NPC-Seele(0)||:Тогда... мы можем быть раскрыты в любой момент...
G11(2);NPC-Deele(0)<Speaker>Дьер</Speaker>||:Чушь! Да, я совершил ошибку, но это не так уж и серьезно. +Как только она вошла в сеть, протокол безопасности заблокировал бы ее нейронное облако из-за отсутствия у нее разрешения. +Она не смогла бы получить доступ ни к чему и, естественно, не имела бы возможности обнаружить тебя. Просто успокойся!
G11(2);UMP9(2)<Speaker>UMP9</Speaker>||:Эй, это не очень обнадеживает! +Если Грифон обнаружит, что нейронное облако Т- Куклы пропало, рано или поздно они придут с вопросами!
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:...Можете ли вы выяснить, кто она?
UMP45(2);NPC-Deele(0)<Speaker>Дьер</Speaker>||:Я не нашел совпадений в базе данных, так что, скорее всего, она новенькая. +Но это не имеет значения! Я выгоню ее из сети. Мне просто нужно немного времени, чтобы ее найти. А ты пока можешь отдохнуть.
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:... +Давайте извлечем из ситуации максимум пользы и попробуем найти ее в сети.
UMP45(2);NPC-Deele(0)<Speaker>Дьер</Speaker>||:О? Хочешь включить это в тренировку?
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:Мы все равно будем искать сигналы цели. Не помешает получить реальный опыт. +Мы также можем собрать данные о новейшей модели Т-Куклы от Грифона и помочь тебе обновить базу данных, пока мы этим занимаемся.
UMP45(2);G11(3)<Speaker>Gr G11</Speaker>||:А... так что, я уже не сплю?
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:Это действительно хорошая идея, 45-я? Если нас обнаружат...
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:Реальная операция будет гораздо опаснее, чем разоблачение. Вместо того, чтобы беспокоиться о рисках, мы должны подумать о том, как это сделать. +Пока я здесь, вам, ребята, нужно просто выполнять мои приказы, понятно?
UMP45(2);HK416(0)<Speaker>416</Speaker>||:Ты именно то, о чем я беспокоюсь, 45-я. Мы все беспокоимся о твоем текущем состоянии.
UMP45(2)<Speaker>UMP45</Speaker>;HK416(0)||:Не переживай. Я ценю себя больше, чем кто-либо другой, но пока действительно нет повода для беспокойства.
UMP45(2);UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:... +Хм, если ты так считаешь, то давай уходим!
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||<BIN>72</BIN><黑屏2>:Найти сигнал, да... Пожалуй, нам следует начать с сбора данных о нейронном облаке этого незваного гостя.
HK416(0)<Speaker>416</Speaker><通讯框>||:Как именно мы это сделаем?
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:На самом деле все очень просто... Так же, как мы только что использовали маскировочный ключ, нам просто нужно подойти к ней и забрать данные. +Хотя, похоже, ее сигнал был разрушен, поэтому нам придется найти все фрагменты.
G11(0)<Speaker>Gr G11</Speaker><通讯框>||:Звучит скучно... Может, просто вернем одного?
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:Не то чтобы мы не могли, но это ужасно... +Т-Кукла с утраченными данными нейронного облака похожа на человека с умственными отклонениями.
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑点1>:Это может быть просто очередное обучение, но не теряйте бдительность. Давайте быстро найдем все данные нейронного облака и вернем их обратно.

