()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:...
？？()<Speaker>??</Speaker>||<BIN>9</BIN>:M4... + ... + M4A1...
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:... +Я... Где я...
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:...! + Это... +A...AR...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:Не ёрзай. +Ты очень тяжёлая.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:... +Это... действительно ты?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:Не верти головой. Достаточно слышать мой голос, поняла?
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:Почему... +...не верю! +AR-15... Ты... ты жива?!
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:Давай сначала уйдём отсюда. Потом я тебе все объясню.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:Но почему... Почему ты появилась здесь и сейчас...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:У меня есть своя миссия. Встреча с тобой была просто случайностью. +Но... я думаю, это неплохо.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:Поставь меня на ноги, я пойду сама.
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN>:Если бы ты могла ходить, мне не пришлось бы тебя нести.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:...?! +Моё тело... не отзывается...?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:Если ты хочешь кого-то в этом винить, она стоит рядом со мной... +Что-то пошло не так, когда она отключила тебя. Это привело к небольшому повреждению твоего нейронного модуля, поэтому твоя способность двигаться была временно ограничена.
AK12()<Speaker>AK-12</Speaker>||<BIN>118</BIN>:Da, da, it's kind of my fault, which is why I'm carrying this case for you. +Still, it's also your own people's fault for Да, да, это в некотором роде моя вина, поэтому я и веду это дело для тебя. +Но всё же, это и вина твоих людей, которые установили такие сложные модули в устаревшую Т-Куклу.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:Это... Чей это голос?
AK12()<Speaker>AK-12</Speaker>||<BIN>118</BIN>:Тактическая Кукла AK-12 от Оперативной Группы DEFY.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:DEFY...? Чем ты занимаешься? +AR-15, ты теперь одна из них?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN>:У меня новый работодатель. У меня не было особого выбора. +Её зовут Анжелия. Ты с ней уже встречалась.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:Анже...лия...? +...Ты имеешь в виду женщину, которая помогла мне попасть в зону боевых действий? +А как насчет остальных? +А как насчет SOP-II... и RO?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:...Сейчас не время об этом думать. Элита Сангвис все еще здесь. +Сосредоточься на том, что перед тобой, молчи и дыигай за мной.
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN><黑屏1>:... +SOP-II... +RO...
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:Я... помню... +Я видела RO и...
