()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>161</BIN><黑屏2><SE2>Alarm</SE2>:...За час до взрыва грязной бомбы, во временном командном пункте Грифона.
NPC-Kalin(8)<Speaker>Калина</Speaker>||<BGM>BGM_Danger</BGM>:Внимание, всем Т-Куклам! +Военные уже прорвали внешний оборонительный периметр командного пункта! Всем бойцам нужно действовать по плану и сразу отступать! +9A-91, Thompson, ваши команды должны держать оборону и обеспечить отступление других Кукол!
9A91(0)<Speaker>9A-91</Speaker><scan><通讯框>||:<color=#00CCFF>Где Командир? Нам нужны приказы, иначе мы не сможем организовать хорошую контратаку!</color>
NPC-Kalin(4)<Speaker>Калина</Speaker>;9A91(0)||:Командир всё ещё руководит сражением и не может сдвинуться с места!
NPC-Kalin(4);M1928A1(0)<Speaker>Thompson</Speaker><scan><通讯框>||:<color=#00CCFF>Мы здесь сражаемся с чертовым Военным. Без Босса мы долго не продержимся!</color>
NPC-Kalin(8)<Speaker>Калина</Speaker>;M1928A1(0)||:Aaaaaaхххх, к черту! Дайте мне попробовать!
NPC-Kalin(8);9A91(0)<Speaker>9A-91</Speaker><scan><通讯框>||:<color=#00CCFF>Ты...?</color>
NPC-Kalin(4)<Speaker>Калина</Speaker>;9A91(0)||:Я научилась азам тактики и командования, служа у Командира, понимаешь? Я не очень опытна, но, по крайней мере, могу немного повысить эффективность твоих операций!
NPC-Kalin(8);9A91(0)<Speaker>9A-91</Speaker><scan><通讯框>||:<color=#00CCFF>Хватит, Калина.</color>
NPC-Kalin(8);M1928A1(0)<Speaker>Thompson</Speaker><scan><通讯框>||:<color=#00CCFF>Остальное мы оставим на твое усмотрение.</color>
NPC-Kalin(8)<Speaker>Калина</Speaker>||:Давайте двигаться дальше, ради Грифона и всех наших друзей!

