()||<BIN>4</BIN><BGM>BGM_Sunshine</BGM>:Зона отдыха в Грифоне.
NPC-Kalin(0)<Speaker>Калин</Speaker>||:Командир, у меня сегодня особое задание.+Поскольку оно касается команды АР, я предоставлю им все объяснить.
M4A1(2)<Speaker>M4A1</Speaker>;NPC-Kalin(0)||:...
M4A1(2);NPC-Kalin(4)<Speaker>Калина</Speaker>||:...M4A1?
M4A1(3)<Speaker>M4A1</Speaker>;NPC-Kalin(4)||:Ах, простите+Я не знала, что вы здесь, Командир.
M4A1(3);NPC-Kalin(2)<Speaker>Калин</Speaker>||:Какое редкое зрелище. Даже мисс М4 не заметила, ха.
M4A1(2)<Speaker>M4A1</Speaker>;NPC-Kalin(2)||:Не заметила? Вообще-то нет. Я просто...
M4A1(2);NPC-Kalin(0)<Speaker>Калин</Speaker>||:У М4 всегда такой вид, будто она витает в облаках, поэтому я никогда не думала, что она будет так специально отвлекаться.
M4A1(2)<Speaker>M4A1</Speaker>;NPC-Kalin(0)||<黑点1>:Ладно... Я отвлеклась.+Или, лучше сказать... задумалась о чем-то.+Но все же... Вернемся к теме. Я здесь, чтобы сообщить о ситуации. +Пока моя команда вела анализ записей наших предыдущих сражений, мы заметили, что координаты одного из ближайших районов были изменены.
M4A1(0)<Speaker>M4A1</Speaker><scan><通讯框>||<黑点2><BIN>10</BIN>:Вот она. Бесхозная база хранения данных.+ Сама база вроде бы в порядке, но ее текущие координаты явно не соответствуют ее местоположению, указанному ранее.
NPC-Kalin(0)<Speaker>Калин</Speaker><scan><通讯框>||:Это точно, такое не каждый день увидишь. Командир, может, нам стоит разобраться?+Если это окажется новой разработкой Сангвиса, чтобы надуть нас, мы же станем героями!
