()||<BIN>3</BIN><BGM>BGM_Battle</BGM>:Разведка продолжается...
BOSS-3(0)<Speaker>Охотница</Speaker><scan><通讯框>||<黑屏1>:Хмф. Ты действительно появилась, M4A1.
M4A1(3)<Speaker>M4A1</Speaker>||<黑屏2>:Кто-то подключился к каналу. Этот голос...
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Охотница! Это та самая Сангвис!
BOSS-3(0)<Speaker>Охотница</Speaker><scan><通讯框>;SOPII(3)||:О? А это отродье тоже здесь?+В любом случае, как вы уже догадались, у меня AR-15.
BOSS-3(0)<scan><通讯框>;SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Пытаешься сопротивляться до последнего вздоха, сука?!
BOSS-3(0)<Speaker>Охотница</Speaker>;SOPII(3)||<黑屏1>:Хмф. Скорее, это часть моей стратегии охоты.+Грифон все равно не сможет занять это место в кратчайшие сроки. Нет смысла затягивать эту тупиковую ситуацию.+Бросьте оружие и сдайтесь мне, M4A1, и вы можете получить AR-15.+А вот и доказательство...
()||<黑屏2><BIN>9</BIN>:Клик.
AR15()<Speaker>ST AR-15</Speaker>||:Не слушай ее, М4! Это все мои...
()||:Клик.
BOSS-3(0)<Speaker>Охотница</Speaker><scan><通讯框>||<黑屏1>:Я верю, что ее слова заставят вас дать тот ответ, который мне нужен.+Не надейтесь на Грифон. У них нет возможности добраться сюда.+Выбирайте скорее. Грифон не оставляет нам времени.
