()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>159</BIN><BGM>BGM_Sneak</BGM><黑屏2>:..Конец операции. Отряд ликвидировал неизвестных врагов, которые вторглись на базу. +...Пока феи заделывают проем, 416-я с глубоким недоумением изучает останки на полу.
HK416(0)<Speaker>416</Speaker>||:...Белые враги. Ни за что бы не подумала, что их можно встретить.
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Видишь? Неизвестно, откуда они взялись.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:...Но это более чем странно. Я даже не имею ни малейшего представления.
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Ха, какая наглость.+ Но надо признать, что ты только что неплохо постаралась.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Так ты теперь мне доверяешь?
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Виновата. Ты действительно элитная Т-Кукла. +Глядя на твое детское личико, я честно думала, что ты просто случайная декоративная Кукла, вытащенная из какого-то склада, чтобы пополнить наши ряды.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Хотелось бы быть просто украшением. Не пришлось бы все делать самой. +Тем не менее, эти враги оказались гораздо слабее, чем я ожидала. Это были основные силы?
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Не смеши меня, это просто надоедливые твари, те, что на нас напали раньше, были совсем другого уровня. +Настоящие... их невозможно убить.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Неубиваемые?
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Честно говоря, тебе не понравится с ними сталкиваться, но хватит об этом, нам пора.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Постой, а зачем они послали сюда эти низкоуровневые подразделения?
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Это имеет значение? Значит, они послали сюда пушечное мясо. Это же не большая проблема, верно?
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Мы имеем дело с противниками, которые еще более непостижимы, чем Военные. С таким уровнем технологий они не будут действовать опрометчиво. +Я не советую отправляться в путь сразу. Нам следует подождать, пока база не будет полностью восстановлена...
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Э? Ты шутишь? +Это будет слишком поздно! 9A-91 все еще ждет нас!
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Но мы не можем рисковать. Противник только проверял нас, а настоящая атака еще впереди!
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Каждый наш шаг сейчас — это риск! +Слушай, 416-я, время — наш самый ограниченный ресурс. Мои подруги все еще принимают на себя пули на передовой, я не могу просто бросить их на произвол судьбы!
AK74U(0);HK416(0)<Speaker>416</Speaker>||:Не дай своим чувствам взять верх! Ты же Тактическая Кукла, так что слушайся приказов!
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Конечно! Я буду слушать распоряжения, пусть Командир даёт приказ! Прикажите мне остаться здесь!
AK74U(0);HK416(0)<Speaker>416</Speaker>||:74У, ты... выходишь из себя, когда речь заходит о твоих друзьях. Все Т-Куклы в Грифоне такие же недисциплинированные, как ты?
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(0)||:Я не такая, как ты. Я бы не бросила своих друзей и не отправилась в одиночку на самоубийственную миссию.
AK74U(0);HK416(0)<Speaker>416</Speaker>||:...Ты вообще понимаешь, о чем говоришь?
AK74U(0)<Speaker>AK-74U</Speaker>||:У тебя даже друзей нет, да? +Я знаю, что ты из Отряда 404.
HK416(0)<Speaker>416</Speaker>||:... +И что с того? Ты меня даже не знаешь, мусор из Грифона.
()<Speaker></Speaker>||<SE1>Rope</SE1><SE2>Rope</SE2>:...! +...74У хватает 416-ю за воротник.
AK74U(0)<Speaker>AK-74U</Speaker>||:Я не мусор! Ты знаешь, что...
HK416(3)<Speaker>416</Speaker>||<BGM>BGM_Empty</BGM>:Берегись!
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2><闪屏><duration>5</duration></闪屏>:...416-я отталкивает АК-74У. +...Бах-бах! Место, на котором они стояли, покрывается градом пуль.
AK74U(0)<Speaker>AK-74U</Speaker>||<SE2>Gunfight</SE2><BGM>BGM_Danger</BGM>:...! 416-я!
HK416(3)<Speaker>416</Speaker>||:Я в порядке! Просто ссадина! +Защити "фей"! Мы отступаем на строительную площадку!
()<Speaker></Speaker>||:...Новые вражеские войска наводняют поле боя, 416-я с трудом сдерживает их наступление.
AK74U(0)<Speaker>AK-74U</Speaker>||:Это они! Основные силы! +Как и в прошлый раз, наши выстрелы не действуют!
AK74U(0);HK416(3)<Speaker>416</Speaker>||:Хотя бы замедлить их! +Где остальные из нашей группы?! Приведите всех, кто еще может двигаться!
AK74U(0)<Speaker>AK-74U</Speaker>;HK416(3)||:Ясно! +И 416-я, насчет того, что только что случилось...
HK416(3)<Speaker>416</Speaker>||<黑屏1>:Сейчас не время! Займись работой! Давай, быстрее!
()<Speaker>416</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:Вот черт. Грифон всегда... полон идиотами, которые меня тянут вниз.

