()||<SE2>Alarm</SE2><BIN>10</BIN>:Спустя пять минут начинает звучать сигнал тревоги Сангвиса.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:Это сигнал тревоги! Она усиливает свои позиции!
M16(3)<Speaker>M16A1</Speaker>||:Спокойно. Им понадобится время, чтобы добраться сюда. +RO, ты можешь назвать их количество?
RO635(0)<Speaker>RO635</Speaker>||:... +Их будет больше, чем просто горстка... я полагаю. +Но, судя по эффективности командования Замерщицы, я сомневаюсь, что она сможет одновременно мобилизовать столько отрядов.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:Что ты имеешь в виду? В смысле, что они не собираются нас завалить толпой?
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:Но есть и другой вариант.
RO635(3)<Speaker>RO635</Speaker>||:В районе может быть более одного командира.
M16(3)<Speaker>M16A1</Speaker>||:Ну нах, два командира? +Только скажите, что это просто твой случайная догадка.
RO635(0)<Speaker>RO635</Speaker>||:Это ВСЕГО ЛИШЬ предположение, но мы не должны впадать в панику и метаться по окрестностям. +Давайте найдем место для прорыва, пока силы С.Ф. не окружили нас.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:А что насчет M1887? Мы до сих пор не нашли ее...
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:Мы еще не встречали ее, значит, она должна быть где-то дальше. +Остается только идти вперед и полагаться на тупое везение. +В конце концов... наша собственная безопасность превыше всего.
M16(3)<Speaker>M16A1</Speaker>||:... +Я понимаю. Тогда веди нас дальше, RO.
