 ()||<BIN>1</BIN><Night><BGM>BGM_Room</BGM>:...Достигнута первая точка встречи.
MP5(0)<Speaker>Gr MP5</Speaker>||:Отчет
MG5(0)<通讯框><Speaker>MchG5</Speaker>;MP5(0)||:Похоже, все идет гладко. Мы немного беспокоились, не окажется ли эта миссия слишком сложной для вас.
MG5(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Хе-хе. Это все благодаря наставлениям Командира. Я тоже буду осторожна.
MG5(0)<Speaker>MchG5</Speaker>;MP5(0)||:Хорошо. Тогда вы нашли разведчика в этом районе?
MP5(0)<Speaker>Gr MP5</Speaker>||:Эм... Я не знаю, где она. Может, она прячется?
MP5(0)<Speaker>??</Speaker>||:Я веду разведку на вражеской территории. Конечно, я прячусь.
MP5(0)<Speaker>Gr MP5</Speaker>||<震屏>:А! Кто это?!
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:Тише... Войска Сангвиса совсем рядом с нами. Хватит кричать, или ты действительно хочешь умереть?
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||:(Шепот) Простите... мисс WA2000. Что у вас здесь происходит?
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:В каком я состоянии? Разумеется, я в полном порядке. А что касается ситуации здесь? Она не очень.+ Здесь повсюду бродят бронированные существа. Как вам удалось пробраться сюда в одиночку?
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||<黑屏1>:Я? Меня сопровождает один из командиров в этом районе.
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:А? Что?!+Эй! Почему мы вдруг переключились на канал Командира?!
MP5()<Speaker>Gr MP5</Speaker>||:Тише... Пожалуйста, говорите тише. Мы находимся рядом с войсками Сангвиса!
WA2000()<Speaker>WA2000</Speaker>||:(Шепот) Я... я знаю. Можешь не напоминать мне...
WA2000(0)<Speaker>WA2000</Speaker>||<黑屏1>:Так вы командир зоны S09? Спасибо за помощь, и... Это все. Я приветствую вас. Прием.
MP5(0)<Speaker>Gr MP5</Speaker>||<BIN>1</BIN><黑屏2><Night>:А? Это все?
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:Мы - Т-Куклы. Мы просто должны выполнять свои задачи.
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Но... вы, кажется, покраснели? Вы смущаетесь?
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:С чего бы это?! Кроме того, я была рождена, чтобы сражаться. Вполне естественно, что я не умею подбирать слова!
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Так вы признаете или отрицаете свое смущение...
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:Заткнись. Разве ты здесь не для отчета о разведке? Ты его получила, так что проваливай.
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Спасибо, мисс WA. Вот несколько припасов, которые мисс G36 приготовила специально для вас.
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:О... Шоколадное мороженое? Как и ожидалось от G36. Она меня знает.+Но не смей говорить ни одной душе... что WA2000 любит мороженое? Ну и шутка.
WA2000(0);MP5(0)<Speaker>Gr MP5</Speaker>||<黑屏1>:Мне очень жаль... Но вообще-то... Командир все еще на линии...
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:...+... Почему ты не сказала об этом раньше?!
