()||<BIN>9</BIN><BGM>BGM_Danger</BGM>:Клик.
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:Командир? Negev? Вы здесь?!
NEGEV(0)<Speaker>Negev</Speaker>||<黑屏2><BIN>2</BIN>:M16, где ты, черт возьми?! +Сангвис повсюду в зоне S08, и они безумно сильны! +Мы почти отступили без тебя!
M16(3)<Speaker>M16A1</Speaker><通讯框>||:Извините, меня что-то задержало.+Слушайте, Negev, Командир. Не принимайте во внимание все остальное.+ Войска Алхимика начали собираться. Боюсь, они идут прямо на нас.
NEGEV(0)<Speaker>Negev</Speaker>;M16(3)||:Хмф. Значит, настало время выяснить отношения?+А что насчет тебя? Куда вы с SOP-II собрались?
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:У нас есть свои порядки. Мы сами справимся. Не беспокойтесь о нас.+ А вы, ребята, будьте осторожны. Командир, берегите Negev и остальных!
NEGEV(0)<Speaker>Negev</Speaker>;M16(3)||:Эй! M16! Тут?!
NEGEV(0);BOSS-5(0)<Speaker>Алхимик</Speaker><通讯框>||:Утречка всем из Грифона.+Охота вот-вот начнется. Вы готовы? И я очень надеюсь увидеть вас снова, мисс Negev...
NEGEV(0)<Speaker>Negev</Speaker>;BOSS-5(0)(0)||:Да неужели? Я сейчас чертовски зла, Алхимик...+Ты лучше молись, чтобы не наткнуться на меня, особенно пока у меня еще осталось немного свободного воздуха...
NEGEV(0);BOSS-5(0)<Speaker>Алхимик</Speaker>||:Как же долго ты продержишься со своими древними патрончиками?+Дайте угадаю. Будешь ли ты разорвана в клочья вместе со своими маленькими друзьями, или же задохнешься, убегая в одиночку?+Окрась свое лицо самым сладким видом страха и дай мне насладиться его видом!
NEGEV(0)<Speaker>Negev</Speaker>;BOSS-5(0)(0)||<黑屏1>:То что нужно тварь Сангвиса...
Negev()<Speaker>Negev</Speaker>||<黑屏2><BIN>9</BIN>:Давайте начнем бой, Командир.+Нет ничего более захватывающего, чем вкусить крови своего врага.
