 ()||<BIN>1</BIN><Night><BGM>BGM_Sunshine</BGM>:...Достигнута вторая контрольная точка.
MP5(0)<Speaker>Gr MP5</Speaker>||:Эм... Здесь кто-нибудь есть?
P7(0)<Speaker>P7</Speaker>;MP5(0)||:О, это MP5! Приветствуем!
P7(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Здравствуйте, мисс П7.
P7(0)<Speaker>P7</Speaker>;MP5(0)||:Привет, привет. Должно быть, это было трудное путешествие для вас! Присаживайтесь и перекусите!
P7(0);MP5(0)<Speaker>Gr MP5</Speaker>||<黑屏1>:О... Спасибки...
MP5()<Speaker>Gr MP5</Speaker>||<BIN>9</BIN>:Пффф!!!+Это на вкус как...!
P7(0)<Speaker>P7</Speaker>||:Хахаха! Это мой особенный восхитительный пирог!
MP5(0)<Speaker>Gr MP5</Speaker>||:Перестаньте морочить мне голову. Я съела много пирогов, и ни один из них не был таким на вкус!
P7(0)<Speaker>P7</Speaker>;MP5(0)||:Ти-хи-хи. Этому рецепту я научилась у госпожи 56-1. Это местный деликатес с ее родины.+Изысканное лакомство с пятью видами орехов, которое едят только в особое полнолуние каждый год.
P7(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Так что же это за пять видов орехов... в этом тесте?
P7(0)<Speaker>P7</Speaker>;MP5(0)||:Ну... Я забыла рецепт, поэтому обошлась пятью видами перца и сырной крошкой.
P7(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Погоди. Перец - это даже не вид орехов!+И... почему сырная крошка на вкус как клубника?!
P7(0)<Speaker>P7</Speaker>;MP5(0)||:Ну... 56-1 сказала, что мне нужно добавить что-то вроде «каменного сахара».+Я не знаю, что это такое, поэтому я просто положила немного клубничного мороженого. +Я потратила уйму усилий, чтобы «угостить» тебя, знаешь ли!
P7(0);MP5(0)<Speaker>Gr MP5</Speaker>||:(Хнычет) ...P7 действительно проказница.+Но... у меня все еще есть работа. Я не могу позволить своим эмоциям взять верх.+Здесь есть кое-что от мисс G36. Большая банка сока со льдом.
P7(0)<Speaker>P7</Speaker>;MP5(0)||:Хмф. Он красный. Томатный сок?+G36 пытается заставить меня снова пить эту ужасную дрянь. Как будто я на это куплюсь.+Не волнуйся. У меня есть соломинка. Просто сделай маленький глоток. Ты можешь отказаться от него, если он тебе действительно не нравится.
P7(0)<Speaker>P7</Speaker>;MP5(0)||<黑屏1>:Хм. Хорошо, только глоток...
P7()<Speaker>P7</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:Пффф!!! Что это за хрень?!+Это не томатный сок! Это что-то еще хуже! Такое острое! Мое горло!
MP5(0)<Speaker>Gr MP5</Speaker>||<BGM>BGM_Boss</BGM>:Она катается по земле. Выглядит очень впечатляюще.+Это овощной сок, выжатый из разновидности супер-острого чили под названием «гадюка». Один глоток действует как граната со слезоточивым газом.+Мисс G36 сказала, что даст тебе его выпить, если ты будешь разыгрывать меня с помощью странных вещей.
P7()<Speaker>P7</Speaker>||:Как ты мог так поступить со мной?! Это так подло! Я разрыдалась как безумная!
MP5(0)<Speaker>Gr MP5</Speaker>||:Она также сказала дать тебе томатный сок со льдом, если ты будешь хорошо себя вести. Я могу дать тебе его прямо сейчас, если хочешь.
P7()<Speaker>P7</Speaker>||:Даже не думай заставлять меня пить эту гадость! Я хочу мороженое! Клубничное мороженое!
MP5()<Speaker>Gr MP5</Speaker>||:Ты забыла? Ты израсходовала последнюю ложечку, чтобы подшутить надо мной.
P7()<Speaker>P7</Speaker>||:(Всхлипы) Как это произошло...?
MP5()<Speaker>Gr MP5</Speaker>||:На столе лежит отчет о разведке, верно? Миссия выполнена. Я ухожу.
P7()<Speaker>P7</Speaker>||:Подождите! Кашель... Пожалуйста, подождите секунду! MP5! Старшая сестренка MP5!+(Всхлипы) Томатный сок... пожалуйста...
