()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:Возвращение в безопасную зону.
IDW(0)<Speaker>IDW</Speaker>||:О, Т-Куклы, которые очень помогли нам в прошлый раз! Мы снова встретились!
M4A1(0)<Speaker>M4A1</Speaker>;IDW(0)||:Простите, мы опоздали.Где остальные?
M4A1(0);IDW(0)<Speaker>IDW</Speaker>||:Все целы. Вы прибыли последними.+Итак, все благополучно вернулись.
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:Здесь есть раненые? Разрешите и нам помочь.
M16(0);IDW(0)<Speaker>IDW</Speaker>||:Конечно! Одним небесам известно, куда убежала М82. Для меня одной это уже слишком.+Большое спасибо!
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:Без проблем. Травмы не слишком серьезны. Это не должно доставить много хлопот.
M16(0);IDW(0)<Speaker>IDW</Speaker>||:Верно. Слава богу, они просто выясняли обстановку с первой волной. +Но я очень испугалась, когда они возникли совершенно неожиданно.
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:Тогда... есть ли какие-нибудь подсказки относительно оружия, которое Сангвисс Ферри использовал только что?
M16(0);IDW(0)<Speaker>IDW</Speaker>||:Хм... Это произошло так быстро, что я ничего не смогла разобрать.+Но, судя по следам, оставленным на земле, если тебя заденут, то всё, игре конец.
M16(0);M4A1(2)<Speaker>M4A1</Speaker>||:...
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>;M4A1(2)||:В чем дело, М4?
SOPII(2);M4A1(2)<Speaker>M4A1</Speaker>||<黑屏1>:Ничего... +... Только немного страшно. +Сколько секретов... все еще скрывает Сангвисс Ферри?
