()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
RO635()||<黑屏2><BIN>9</BIN><BGM>BGM_Sneak</BGM>:Вот и готово... Расшифровано!
M4 SOPMOD II()||:Как? Так быстро?!
RO635()||<黑屏1>:В конце концов, это просто старая сервисная модель. Проще простого.
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:【Два часа назад. Городские трущобы, Зеленая зона.】
()<Speaker></Speaker>||<黑屏2><BIN>168</BIN><BGM>GF_EV3_Bingocard_loop</BGM>:SOP-II издает глубокий вздох...
M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Эх... В ее зрительных заметках тоже ничего нет...
M4 SOPMOD IIMod-Noarmor(0)<Speaker></Speaker>||:Кукла-горничная в замешательстве бродит, как будто только что проснулась.
M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Пока-пока, Мисс Очаровательная Маленькая Горничная. +Э-э... Это была 555-я... +Сколько еще Кукол нам нужно проверить, пока мы наконец не увидим какую-то перспективу?
M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Мы сделали огромный крюк... и вернулись туда, откуда начали. +Командир, ты уверен, что информатор, которого мы ищем, находится в этой зоне?
RO635-NoArmor(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod-Noarmor(0)||:Хватит жаловаться. У Командира есть только одна фотография, а мы сейчас не можем себе позволить афишировать свое присутствие. +Все, что мы можем сделать, — это попытаться отследить местонахождение этой личности, просматривая оптические записи Кукол. +Но все равно это намного проще, чем мои старые миссии в правоохранительных органах. Некоторые слежки могли длиться целый месяц.
RO635-NoArmor(0);M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Но моя работа не в том, чтобы следить за злоумышленниками...
RO635-NoArmor(0);M4 SOPMOD IIMod-Noarmor(0)<Speaker></Speaker>||:SOP-II взмахивает механической рукой, и она внезапно увеличивается.
RO635-NoArmor(0);M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker><Shake>||:Бам! Смотри, разве это не круто?!
RO635-NoArmor(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod-Noarmor(0)||:Ладно, ладно, убери свою пугающую руку.
RO635-NoArmor(0);M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Аааааа, это так СКУЧНО! +Как ни крути, искать нашу цель, просматривая записи Кукол, слишком сложно! А нет ли какого-нибудь способа сделать это более эффективно?
RO635-NoArmor(3)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod-Noarmor(0)||:Хм... есть один способ, как мы можем получить больше информации, но, возможно, нам придётся перейти определенную черту. +Командир сказал, что мы не должны делать ничего слишком заметного...
RO635-NoArmor(3);M4 SOPMOD IIMod-Noarmor(0)<Speaker>M4 SOPMOD II</Speaker>||:Даже если мы будем вести себя тихо, это бессмысленно, если мы не сможем достичь нашей цели. Мы же не для того здесь, чтобы разглядывать достопримечательности!
RO635-NoArmor(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod-Noarmor(0)||<黑屏1>:Ты права. Тогда давай воспользуемся небольшой помощью от этого города.

