()||<BIN>85</BIN><BGM>BGM_Room</BGM>:...Клик.
()||<BIN>85</BIN>:...Есть запрос на шифрованную передачу персональных данных.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:О? И в такой момент... +Привет, Персика.
NPC-Persica(1)<Speaker>Персика</Speaker><通讯框>;NPC-Ange(0)||<BIN>85</BIN>:Что, уже ночь?
NPC-Persica(2)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Как дела у M4? Нейронное обновление прошло нормально?
NPC-Persica(2);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Пока всё нормально. Не о чем беспокоиться. +Я должна поблагодарить тебя от её имени за предоставление сведений для обновления.
NPC-Persica(2)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Не дашь мне взглянуть? Я не против просто поглазеть на неё.
NPC-Persica(2);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Извини, но они уже готовятся к следующему заданию.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Ты снова поручила ей новое задание?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Я отдала ей свою драгоценную оперативную группу DEFY, знаешь ли.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Ты не боишься, что Владыка её схватит?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Разве так не будет лучше? Появление Владыки — это отличная возможность для меня. +Но, кстати, ты знаешь, почему Владыка так хочет поймать M4A1? +Сейчас кажется, что для неё это даже важнее, чем выживание самого Сангвис Ферри.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Я сама изучала этот вопрос и у меня есть несколько мыслей по этому поводу...
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Например?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Лико. +Ты ещё его помнишь?
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Знаю. Он создал Владыку и, наверное, он тот, кто стоит за всем этим... По крайней мере, так кажется на первый взгляд. +А какое отношение этот мертвец имеет к M4A1?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Ты должна знать, что у нас раньше были отношения. +Когда я делала сканирование мозга биологической модели для M4, Лико попросил меня сделать ему копию. В то время он разрабатывал свою собственную структуру искусственного интеллекта.
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Насколько я поняла... ты дала ему нейронную модель облака M4?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Это была ещё не нейронное облакомодель M4. С не совсем научной точки зрения, можно было бы назвать это «душой»...
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Что...? Но... это всё равно не доказывает, что между ними есть прямая связь, и точно не объясняет, почему Военные так заинтересованы во Владыке.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Действительно, это не имеет смысла. Раньше у меня были некоторые идеи по этому поводу... но мне нужно больше подсказок, чтобы их подтвердить.
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Ты намеренно так формулируешь свои фразы?
NPC-Persica(2)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Я не забыла о том, о чём тебя просила раньше.
NPC-Persica(2);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Сьера пришлёт тебе это через пять минут. +Тем не менее, получить его оказалось гораздо сложнее, чем ожидалось. Ты мне за это определенно задолжала.
NPC-Persica(2)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Это зависит от того, что там. Ты их смотрела?
NPC-Persica(2);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Не было времени. Да и ты всё равно мне о них расскажешь. +О, и хорошая новость: я нашла зашифрованные данные на сервере военного театра военных действий.
NPC-Persica(1)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Что? Всё прошло так хорошо?
NPC-Persica(1);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Думаю, военные были неаккуратны. Хочешь знать, что внутри? Хотя я только немного заглянула.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Что ты хочешь мне рассказать?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Пару списков имен участников OGAS. Я тебе их сейчас пришлю. +К тому же, весь этот хаос связан с системой OGAS и этими неугомонными Военными...
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Я понимаю. Проект OGAS был инфраструктурным планом по созданию общенациональной системы ещё в прошлом веке. +Но всё равно очень странно, что Военные так заинтересованы в такой системе управления на национальном уровне.
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Кто знает? И есть ещё один человек, Персика, который точно есть в списке. У меня есть классная идея для ответа.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:Кто？
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Твой босс, Хавьер Виткин. Он участвовал в военной операции в 32-м, связанной с OGAS и Реликвией, вместе с тем парнем Картером +Он был там в качестве технического персонала, а это значит, что он очень хорошо знаком с обоими этими вещами.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:... +Так г-н Хавьер всё-таки был в этом замешан.
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>85</BIN>:Не знаю, что сказать, но, наверное, это полезная информация?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>85</BIN><黑屏1>:Да... +Действительно очень полезная... +Вопрос в том... что мне теперь делать?
