()||<BIN>98</BIN><BGM>BGM_Battle</BGM><黑屏2><火花><SE1>Gunfight</SE1>:...
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Отряд 404! Как у вас дела?!
UMP45(2)<Speaker>UMP45</Speaker>||:Анже, похоже, забыла, что 404 никогда не был предназначен для таких сражений... (Кашель) Дела обстоят не слишком хорошо...
HK416(3)<Speaker>416</Speaker>||:Поторопись и придумай решение с помощью своего коварного нейронного облака, UMP45!
UMP45(2)<Speaker>UMP45</Speaker>||:Даже самое изощренное нейронное облако не сможет пробить 150-миллиметровую броню.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:А как насчет последнего средства Анже?
UMP45(2)<Speaker>UMP45</Speaker>||:Ещё не время... Анже не отдавала приказ...!
UMP9(2)<Speaker>UMP9</Speaker>||:Сигналы Грифона, 750 м на правом фланге!
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Is it the Commander?!
NPC-Ange(0)<Speaker>Анжелия</Speaker><通讯框>||:M4! 45-я! Слышите меня?! Мы с Командиром отвлекаем внимание Военных! +Мы их задержим, так что воспользуйтесь моментом и проберитесь через их разрозненные отряды! Вы ДОЛЖНЫ найти Владыку! Слышите меня?!
UMP45(2)<Speaker>UMP45</Speaker>||:416-я и Gr G11, поднимитесь на ту башню и обеспечьте огневую поддержку! +M4! Пойдёшь со мной и 9-й! Мы пойдём кратчайшим путём!
HK416(3)<Speaker>416</Speaker>||:Что значит «кратчайший путь», ты что, хочешь покончить с собой?!
UMP45(2)<Speaker>UMP45</Speaker>||:Насколько я вижу, их танки не могут стрелять под низким углом! +Отвлеките их огонь от нас! Если мы будем действовать быстро, у нас может появиться шанс это сделать!
HK416(3)<Speaker>416</Speaker>||:Эх! Вы все с ума сошли! Gr G11, вставай, мы уходим!
G11(2)<Speaker>Gr G11</Speaker>||<黑屏1><关闭火花>:Д....да, встаю!

