()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<SE2>RunStep</SE2><BGM>BGM_Room</BGM><黑屏2>:По тусклому туннелю раздаются эхо шагов.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<SE2>RunStep</SE2>:Сюда. Приблизительное расстояние до выхода — 143 метра... +87 метров... 50 метров... +...Мы на месте!
AN94(5)<Speaker>AN-94</Speaker>;AR15Mod(0)||:Подожди, AR-15... Судя по моим сканам, с пространством за этой дверью что-то не так. +Она же не ведёт на первый этаж, правда?
AN94(5);AR15Mod(2)<Speaker>ST AR-15</Speaker>||:Похоже, это не тот путь, по которому мы шли... +Я знаю только, что это не та крепость, что снаружи, но не могу понять, куда именно он ведёт. +Ты лучше разбираешься в ориентировании. Там что-то не так?
AN94(5)<Speaker>AN-94</Speaker>;AR15Mod(2)||:Это не первый этаж, до него ещё далеко... Это ещё одно огромное помещение, но ультразвуковому сканированию ничего не мешает. +...Может, я просто переживаю.
AN94(5);AR15Mod(3)<Speaker>ST AR-15</Speaker>||:...
AN94(5);AR15Mod(4)<Speaker>ST AR-15</Speaker>||:Если мы останемся здесь еще на минуту, нас просто убьют. Давай сначала убираться отсюда.
AR15Mod(4)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:AR-15 с силой распахивает дверь.
AR15Mod(4)<Speaker>ST AR-15</Speaker>||<SE1>Heartbeat</SE1>:... +Никого нет.
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(4)||:Здесь даже темнее, чем в туннеле. Не удаётся визуально обнаружить цель... +Инфракрасное сканирование завершено — сигналов противника не обнаружено.
AN94(0);AR15Mod(2)<Speaker>ST AR-15</Speaker>||<SE1>Heartbeat</SE1>:Слава богу. Наконец-то мы можем...
()<Speaker></Speaker>||<SE1>Alarm</SE1><黑屏1>:Дверь внезапно захлопнулась за АН-94. +Бам!
()<Speaker></Speaker>||<BIN>96</BIN><白屏闪光><BGM>BGM_Boss</BGM>:Сцена освещается, и в свете прожекторов появляется фигура в чёрном, стоящая прямо под ними.
？？()<Speaker>??</Speaker>||:«И слава Божья будет явлена. И всякая плоть увидит её, ибо уста Господни сказали это.»
AN94(0)<Speaker>AN-94</Speaker>||:Этот голос... Устранение помех, вызванных эхом... Анализ...
AN94(0)<Speaker>??</Speaker>||:«Ещё одно мгновение — и Я потрясу небеса, и землю, и море, и сушу. Я потрясу все народы, и придет Чаяние всех народов. Господь, Которого вы ищете, внезапно придет в Храм Свой, и Ангел Завета, Которого вы желаете: вот, Она грядет!»
AN94(0)<Speaker></Speaker>||:Кукла, стоящая под светом прожекторов, размахивает длинными рукавами и, совершив изящный танцевальный поворот, поворачивается к ним лицом. +AR-15 и АН-94 почти сразу узнают её лицо.
AN94(2)<Speaker>AN-94</Speaker>||:...Это Меркьюуроуз! Та самая, что была раньше!
AN94(2);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:«Но кто выдержит день Её пришествия, и кто устоит, когда Она явится? Ибо Она — как огонь расплавляющий и как огонь очищающий.» +Поздравляю, AR-15 и АН-94 из оперативной группы DEFY. +Вы преодолели одно препятствие за другим, прошли через запутанный лабиринт и, наконец, добрались до этой сцены. +Вы проявили такую преданность делу — пошли на все, чтобы сжечь за собой мосты и присоединиться ко мне на моей сцене. Прими мою глубочайшую благодарность.
