()||<BIN>4</BIN><BGM>BGM_NightOPS</BGM><Night>:...Достигла указанного склада.
97typeS(0)<Speaker>Type97S</Speaker>||:(Машет) Lil' 56! Давно не виделись!
56-1type(0)<Speaker>Type56-1</Speaker>||:Мы уже давно ждем. Что-нибудь случилось по дороге сюда?
M99(0)<Speaker>M99</Speaker>||:Извиняюсь. По дороге было много отрядов Сангвиса. Мы потеряли немного времени на их обход.
56-1type(0)<Speaker>Type56-1</Speaker>||:Нет проблем. Припасы упакованы и готовы к отправке. Давайте отправимся как можно скорее.
97typeS(0)<Speaker>Type97S</Speaker>||:Это все? Я думала, мы сможем наполнить хотя бы несколько грузовиков.
56-1type(0)<Speaker>Type56-1</Speaker>||:Раньше их было гораздо больше... но они были вывезены. Вот почему меня послали охранять последние из них.
M99(0)<Speaker>M99</Speaker>||:А? Неужели С.Ф. настолько беден, что им приходится охотиться за нашими запасами?
56-1type(0)<Speaker>Type56-1</Speaker>||:Ну... +На самом деле это были люди из соседних районов, но пиар имеет значение... +Если бы Юпитер не атаковал, боюсь, мы бы даже не смогли спасти последнюю партию.
M99(0)<Speaker>M99</Speaker>||:Понятно... +Все ресурсы передаются военными под строгим контролем. Никто не может прикасаться к ним без разрешения. Даже люди.+Мы должны защитить остальные запасы, насколько это в наших силах.
97typeS(0)<Speaker>Type97S</Speaker>||<黑屏1>:Отлично, давайте доставим их в целости и сохранности к месту назначения!
