 ()||<BIN>8</BIN><BGM>BGM_Room</BGM>:MP5 беспрепятственно добралась до временного офиса Грифона.
MP5(0)<Speaker>Gr MP5</Speaker>||:Мисс Хелиан, вот отчеты о силах Сангвиса Ферри, размещенных в этом районе.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:Отличная работа, MP5. Спасибо за усердную работу.+Дайте подумать...+Сангвис Ферри действительно обладает таким количеством бронетехники. Агентства по недвижимости будут трястись за свои сапоги, когда узнают об этом.
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Так что же нам делать...? Можем ли мы противостоять этой атаке?
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:Конечно, нет, но нам и не придется.+Это все военные бронетанковые части, которые взломал Сангвис Ферри. Военным придется самим наводить порядок.+А мы просто поможем тут и там и протянем руку за финансовую компенсацию.
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Этого... будет достаточно...?
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:Что это, MP5?
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Мне бы хотелось, чтобы я могла делать больше и чтобы на меня полагались как мои спутники, так и люди...+Именно поэтому я взяла это задание. Я хочу стать сильнее...
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:(Хихиканье) Все вы - измененные Т-Куклы, предназначенные для гражданского использования. Вы ни за что не победите военных Т-Кукол, какими бы сильными вы ни стали.
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Вы правы. Мы слабы. Наше оружие устарело. Даже наши характеры проблематичны. Так в чем же... наша ценность...?
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:Есть вещи, которые можешь сделать только ты, MP5. Именно по этой причине Грифон выбрал тебя.
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||:Но... я все еще хочу заслужить свое место благодаря своим способностям.
NPC-Helian(0)<Speaker>Хелиан</Speaker>;MP5(0)||:Не беспокойся. Грифон не допустит, чтобы наши Т-Куклы навсегда уступили военным Т-Куклам.+Но для этого нужно время, капитал и всеобщие усилия.+Ты в праве иметь такие стремления. Продолжайте сражаться, а остальное предоставьте нам.
NPC-Helian(0);MP5(0)<Speaker>Gr MP5</Speaker>||<黑屏1>:Спасибо, мисс Хелиан! Я постараюсь сделать все возможное и в следующей миссии!
 ()||<BIN>9</BIN>:Щелчок...
Helian()<Speaker>Хелиан</Speaker>||:Хм? Что такое, Томпсон?+...Неужели? Значит, началось? Поняла.
MP5()<Speaker>Gr MP5</Speaker>||:В чем дело, мисс Хелиан?
Helian()<Speaker>Хелиан</Speaker>||:А вот и... следующее задание.
