()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:...На окраине Таллинна.
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>Командир, в течение последних двух часов неизвестные сигналы, исходящие из Таллинна, постоянно пытаются установить связь с M4. Помимо этого, ничего необычного не происходило.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>Ни одна другая Кукла Грифона не подвергалась электронным атакам. Мы будем и дальше обеспечивать защиту.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>На этом мой обычный отчёт закончен. Нам нужно не отставать от них и продвигаться дальше по Таллинну.</color>
Commander()||:Неужели...? Понятно. Будем на связи.
()<Speaker>Командир</Speaker>||<SE1>AVG_tele_disconnect</SE1>:Хмм?
NPC-Kalin(0)<Speaker>Калина</Speaker><scan><通讯框>||<SE1>AVG_tele_connect</SE1>:Командир, у тебя есть минутка?
NPC-Kalin(0)<Speaker>Командир</Speaker><scan><通讯框>||:У меня пока никаких проблем. Это сообщение от передовой группы? Такие сообщения всегда в приоритете. Как только они свяжутся, просто переключи их ко мне напрямую.
NPC-Kalin(3)<Speaker>Калина</Speaker><scan><通讯框>||:Нет, это от 16LAB... Это мисс Персика.
NPC-Kalin(3)<Speaker>Командир</Speaker><scan><通讯框>||:(Вот и она... Прямо как Хавьер и предсказывал.) +...Соедини с ней.
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:...Клик.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>Ах... Командир... Давно не виделись.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Ну... э-э... Мне, честно говоря, есть что сказать, но теперь, когда мы наконец-то разговариваем лицом к лицу, почему-то...</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:Мы не общались уже несколько месяцев. Рад, что ты связалась со мной.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>...Боже мой, неужели прошло всего несколько месяцев? Еще даже года не прошло, а кажется, что прошла целая вечность.</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:Да, я уверен, что последние несколько месяцев... были действительно тяжелыми... для нас обоих.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Командир, я связалась с тобой, чтобы обсудить...</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:M4, верно?
NPC-Persica(1)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Ох...</color>
NPC-Persica(1)<Speaker>Командир</Speaker><scan><通讯框>||:Насколько я помню, ты никогда не звонила мне по какому-то другому поводу, так что догадаться несложно.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>...Тогда я перейду сразу к делу.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я всё это время пыталась разобраться в «Инциденте Бабочки». Место, куда ты отправляешься в рамках текущего задания, тесно связано как с Лико, так и с самим инцидентом.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Но с момента последней секретной военной операции за мной ведут пристальное наблюдение, и я никак не могу связаться с девчонками из Команды AR...</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:После той операции произошло многое.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>(Фыркает) Я посмотрела репортаж о Белграде. Похоже, я сильно отстала от последних событий.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Так где же Команда AR?</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:Они уехали на задание. +Я как раз собирался связаться с передовой группой, которую сопровождает M4, и узнать, как у них дела в Таллинне. Хочешь, я открою для тебя канал связи?
NPC-Persica(1)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Нет! Я думаю, нам стоит подождать...</color>
NPC-Persica(1)<Speaker>Командир</Speaker><scan><通讯框>||:Если честно, я даже не знаю, как с ней поступить. Мне всегда кажется, что она меня избегает. +Думаю, M4 было бы полезно пообщаться со старым другом в этот короткий перерыв перед началом сражения.
NPC-Persica(3)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я всё же предпочла бы не...</color>
NPC-Persica(3)<Speaker>Командир</Speaker><scan><通讯框>||:Итак, мисс Персика, ты хочешь помочь M4, но при этом не хочешь с ней встречаться. Почему?
NPC-Persica(3)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>...Это трудно объяснить.</color>
NPC-Persica(3)<Speaker>Командир</Speaker><scan><通讯框>||:Если у тебя есть для меня работа или ты собираешься попросить меня об одолжении, то я хотел бы знать, «почему».
NPC-Persica(3)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Разве вы, ЧВК, не должны вести себя как настоящие наемники...? Просто берите деньги и не задавайте лишних вопросов... Я заплачу тебе в полном объеме.</color>
NPC-Persica(3)<Speaker>Командир</Speaker><scan><通讯框>||:Раньше я бы с этим согласился. +Однако сейчас я должен думать о безопасности всех членов Грифона — и людей, и Кукол. Ты хочешь защитить своё любимое творение, а я — своих важных подчинённых. +Ты действительно думаешь, что можешь купить наше взаимное доверие за деньги, Персика?
()||<BGM>BGM_Empty</BGM>:Персика замолкает, столкнувшись с таким резким вопросом. +Спустя некоторое время она наконец опускает голову в знак поражения.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||<BGM>BGM_Wake2</BGM>:<color=#00CCFF>...Я слишком много должна этой девушке... M4...</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>M4 для меня особенно дорога. Я хотела защитить её всеми силами, и именно так и появилась Команда AR...</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я постоянно нагружала ее ненужными заботами, только чтобы сделать из неё идеальный шедевр, каким я её себе представляла. Я не осознала свою ошибку, пока она не ушла. Что я наделала?</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Чтобы удовлетворить свои эгоистичные желания, я не только причинила ей боль, но и позволила забрать всех её друзей.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я даже отпустила её обратно в этот жестокий и враждебный мир. Из-за этого моя лучшая подруга получила серьёзные травмы...</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:...Мисс Персика, все птицы рано или поздно покидают гнездо. +M4 никогда не переставала развиваться, мы все являемся свидетелями её достижений. Тебе стоит больше верить в своего ребёнка.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я... не это имела в виду, но да, ты прав.</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:У меня ещё один вопрос — как ты узнала, что я еду в Таллинн? Если в нашей системе безопасности есть лазейка, я должен её найти и устранить.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я уже давно пытаюсь найти вас и Команду AR, но безрезультатно.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Но поскольку в СМИ появилось много сообщений о деятельности Кукол Грифона в связи с Белградским инцидентом, я смогла догадаться, что ты и Куклы Грифона все в порядке.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>К тому же Хавьер, похоже, был довольно обеспокоен и внимательно следил за развитием событий, так что... я проверила выписки по его личному счету.</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:А, значит, кроме убийства мистера Хавьера, других способов заткнуть утечку нет. Ну, что ж, ничего не поделаешь. +Ладно, раз на мой вопрос ответили, давай вернёмся к делу. Какие услуги ты хочешь, чтобы я оказал?
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Я хотела попросить тебя связаться с Командой AR и попросить их вернуться в 16LAB или хотя бы увести их с передовой в более безопасное место.</color>
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Но, выслушав тебя, я думаю, что чуть не приняла ещё одно неправильное решение...</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:Операция уже идет полным ходом, и любые внезапные изменения в моих приказах или в расположении наших сил только вызовут ненужную суматоху. +Даже если бы ты об этом попросила, я бы на это не согласился. +К тому же... у меня такое ощущение, что М4 что-то ищет. Думаю, даже если бы я отдал такой приказ, она бы не согласилась просто так уйти.
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>Наверное, ты прав... Прости, я была невнимателен.</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||<BGM>10065</BGM>:Это понятно... Калин, не могла бы ты предоставить мисс Персике доступ к нашей системе управления в качестве наблюдателя?
NPC-Kalin(2)<Speaker>Калина</Speaker><scan><通讯框>||:<color=#00CCFF>Что? Конечно, я могу, но давать постороннему человеку прямой доступ к информации о ходе сражения...? Ты уверен, что стоит это делать?</color>
NPC-Kalin(2)<Speaker>Командир</Speaker><scan><通讯框>||:Персика разработала дроны, которые мы используем для передачи сигналов, она и 16LAB все это время поддерживали Грифон, так что ее вряд ли можно назвать посторонней. +В ходе этой операции нам предстоит столкнуться со множеством неизвестных угроз, поэтому я надеюсь, что мисс Персика поделится с нами своим опытом и поможет нам избежать опасностей.
NPC-Kalin(3)<Speaker>Калина</Speaker><scan><通讯框>||:<color=#00CCFF>Ладно, я доверяю твоему мнению.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker><scan><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Мисс Персика, я предоставил тебе доступ в качестве наблюдателя. Теперь ты сможешь подключаться к нашему каналу наблюдения и следить за сражением.</color>
NPC-Kalin(3)<Speaker>Командир</Speaker><scan><通讯框>||:Если заметишь что-то подозрительное или потенциально опасное, пожалуйста, сообщи мне. +Однако последнее слово при принятии решений останется за мной. Тебя это устраивает, Персика?
NPC-Persica(0)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>...Спасибо, Командир. Позже я постараюсь отплатить вам за это.</color>
NPC-Persica(0)<Speaker>Командир</Speaker><scan><通讯框>||:Может, угостишь меня кофе?
NPC-Persica(1)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Что?</color>
NPC-Persica(1)<Speaker>Командир</Speaker><scan><通讯框>||:Ты же обещала приготовить мне кофе, когда мы впервые встретились.
NPC-Persica(3)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Ой... Боже, что со мной такое? Я совсем об этом забыла после переезда.</color>
NPC-Persica(2)<Speaker>Персика</Speaker><scan><通讯框>||:<color=#00CCFF>Кстати, я кладу в кофе много сахара.</color> <c>Здорово, с нетерпением буду ждать.<c>Ой, какая жалость. Я за черный кофе.
NPC-Persica(2)<Speaker>Командир</Speaker><scan><通讯框>||<分支>1</分支>:Здорово, с нетерпением буду ждать.
NPC-Persica(1)<Speaker>Персика</Speaker><scan><通讯框>||<分支>1</分支>:<color=#00CCFF>Ты тоже любишь сладкое, да? Это отличное открытие. Уверена, мы прекрасно поладим.</color>
NPC-Persica(2)<Speaker>Командир</Speaker><scan><通讯框>||<分支>2</分支>:Ой, какая жалость. Я за черный кофе.
