()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...+...Клик.
Intruder()<Speaker>Нарушительница</Speaker>||<BGM>BGM_Boss</BGM>:...M4A1, Я так и знала, что ты мне позвонишь.
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:...+Скажи мне... Где М16?
BOSS-4(0)<Speaker>Нарушительница</Speaker><scan><通讯框>||<BIN>5</BIN><黑屏2>:
M4A1(3)<Speaker>M4A1</Speaker>;BOSS-4(0)||:Какова твоя цель?+Грифон уже захватил твою территорию, но ты не предприняля ни одной серьезной контратаки!
M4A1(0);BOSS-4(0)<Speaker>Нарушительница</Speaker>||:О? Я не думала, что напугаю вас своим пофигизмом.+Хорошо, я расскажу вам. Приказ, который я получила...
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:...
M4A1(0);BOSS-4(0)<Speaker>Нарушительница</Speaker>||:Хехе ♪ На самом деле это очень просто - убить немного времени.
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:Убить время? Это твой приказ?
M4A1(0);BOSS-4(0)<Speaker>Нарушительница</Speaker>||:Что в этом странного? Если Мастер так захочет, я могу сесть и выпить с тобой чашечку чая.+Но сначала... ты должна добраться до моего чайного домика.
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:Это не составит труда, Нарушительница.
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:Грифон вычислил координаты, которые оставил отряд, отправленный нами раньше. Мы встретимся очень скоро.
BOSS-4(0)<Speaker>Нарушительница</Speaker><scan><通讯框>||:Хехехе ♪ Тогда я буду ждать с нетерпением.
