()||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:...
NPC-Ange(0)<Speaker>Анжелия</Speaker>||:M4, слышишь меня?
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>;NPC-Ange(0)||:Чётко и ясно.
M4A1Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Я думаю, ты понимаешь, что мы в сложной ситуации.+Просто уничтожить Сангвис Ферри не достаточно, чтобы остановить Военных.+Нам нужно больше информации и понимания.
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:Хмм.
M4A1Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Так что я буду с тобой откровенна. Я уже знаю, что ты собираешься встретиться с Владыкой.+Думаю, она рассказала тебе, где находятся пропавшие SOP-II и M16.
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:...
M4A1Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Но, честно говоря, у тебя не очень много надежды их найти, поэтому ты и готова взять её с собой.
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:Они слишком долго отсутствуют... Ты собираешься меня остановить?
M4A1Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Есть такая поговорка: «Наши глаза — это наша тюрьма, и всё, что мы видим, — это стены нашей камеры». +Не давай себе быть связанной тем, что ты знаешь, и не позволяй слепой жажде мести сбить тебя с пути.
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:И что?! Значит, я вообще ничего не должен делать?! Просто выполнять твои приказы?!+Ты обещала мне, что позволишь мне найти моих друзей! Ну?!
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:А если их уже нет?
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:...Если их больше нет, то все, кто причинил им боль, заплатят за это!
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Так что, если хочешь отомстить, то кому будешь мстить?+Планируешь убить всех из Сангвиса? Убить капитана Егора? А потом что?
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:Нет никакого «потом».+Я не могу просто сидеть сложа руки... Я не могу вернуться к прежней себе... к слабой и трусливой M4A1...
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Трусость может быть постыдной, но она не смертельна. Храбрость может вызывать восхищение, но она может завести тебя в пропасть.
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:Тогда... что мне делать...?+Я не хочу, чтобы меня все защищали, и не хочу, чтобы другие жертвовали собой ради меня.+Если бы у меня был выбор, я бы даже не хотела быть M4A1!
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:У тебя всё ещё есть выбор. +Выбирай не умирать вместе с Владыкой, даже если твоих товарищей по команде уже нет рядом.
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:... +Ты хочешь её поймать. Ты хочешь, чтобы Я её поймала.
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Это наш последний шанс. Последний шанс не дать ещё большему количеству людей пострадать. +Встреться с ней. Выиграй время. Тогда остальные найдут способ её схватить. +Ты согласна на это задание?
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:А если я потерплю неудачу?
M4A1Mod(4);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Тогда я прибегну к крайней мере. Ничего не останется.
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<黑屏1>:Тогда... для меня это не имеет значения.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BIN>98</BIN><黑屏2>:Пора уже. +M4, видишь место сброса? +А как дела у 404?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:M4?
M4A1Mod(3)<Speaker>M4A1</Speaker>||:Ах... извини... Я не видела никакого воздушного сброса.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что у 404?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...Просто сейчас я не была с ними на одной волне.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Что с тобой...? +Не говори мне, что ты начинаешь бояться в такой момент.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1>:Нет... Я просто... +...Это сообщение от 404. +Они нашли место сброса.
G11(2)<Speaker>Gr G11</Speaker>||<BIN>71</BIN><黑屏2>:Эта миссия уже слишком затянулась... У меня уже ноги отваливаются...
UMP9(3)<Speaker>UMP9</Speaker>||:Ахахаха, ну, нам нужно тебя время от времени тренировать, Gr G11~
G11(2)<Speaker>Gr G11</Speaker>||:Я не хочу тренироваться... Я хочу остаться дома навсегда...
UMP45(0)<Speaker>UMP45</Speaker>||:Потерпи ещё немного~ Кто знает, может, после этого нам больше не придется летать на миссии~♪
HK416(0)<Speaker>416</Speaker>||:Когда я слышу это от тебя, у меня мурашки по коже...
UMP45(0)<Speaker>UMP45</Speaker>||:Не переживай по мелочам. Как у нас обстоят дела?
HK416(0)<Speaker>416</Speaker>||:Думаешь, М4 действительно не знает, где находится М16?
UMP45(0)<Speaker>UMP45</Speaker>||:Это твой отчёт о патрулировании?
HK416(0)<Speaker>416</Speaker>||:Не думаю, что она просто так исчезнет.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Если ты так переживаешь за неё, то почему бы не уйти из 404 и не присоединиться ко мне в поисках?
UMP45(0)<Speaker>UMP45</Speaker>||:Так ты уже здесь. +Как насчет этого, 416-я? Тебе нравится эта идея?
HK416(0)<Speaker>416</Speaker>||:...Эх. Группа Gr G11, продолжай следить за периметром вместе со мной.
G11(2)<Speaker>Gr G11</Speaker>||:Почему Я тоже должна идти...?
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:Похоже, все основные персонажи здесь, так что давайте посмотрим, что в этом пакете.
UMP9()<Speaker>UMP9</Speaker>||<BIN>133</BIN><黑屏2>:Необычный... контейнер?+Может, это боевая головка?
UMP45()<Speaker>UMP45</Speaker>||:Похоже на какую-то канистру. Их пять штук...+Не знаю, где Анже их достала, но ясно, что одна такая стеклянная посудина страшнее, чем все Сангвис Ферри вместе взятые.
UMP9()<Speaker>UMP9</Speaker>||:Они такие опасные? Мне они кажутся довольно непритязательными...
UMP45()<Speaker>UMP45</Speaker>||:Похоже, это будет самый большой сюрприз, который мы можем преподнести Военным. +AR-15, пришло время проявить себя. Подключение и установку взрывчатки оставлю тебе. ♪
AR15()<Speaker>ST AR-15</Speaker>||:Сучка, ты же специально так делаешь, да?
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:Ну, ты же у нас рекордсмен по взрывам. Разве ты не запасалась этими штуками всегда, когда отправлялась в путь? +Я не хочу умирать зря из-за небольшой ошибки при подготовке, поэтому и доверяю это тебе.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>71</BIN><黑屏2>:AR-15.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Понимаю.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:У меня есть восемь блоков тротила типа C, которые можно взорвать дистанционно. Ещё у меня есть дымовые шашки и термитные полоски для контролируемого сноса. +Что ты собираешься с ними делать?
UMP45(0)<Speaker>UMP45</Speaker>||:Честно говоря, я тоже не совсем понимаю. Почему бы не спросить Анже? +Анже, ты меня слышишь? Мы нашли твою посылку.
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker><通讯框>||:Правда? Это было быстрее, чем я ожидала. +Все на месте?
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:Мы все собрались и ждём твоего следующего распоряжения.
M4A1Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Ладно. Это значит, что можно переходить к следующему этапу.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Прежде чем отправить нас на верную гибель, не могла бы ты рассказать нам, что в этих штуках?
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Дай-ка посмотрю...+По картинке я думаю, что это герметичные радиальные поляризаторы.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Так что же внутри них?
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Я вижу, что это жидкость Коллапса. Не могу поверить, что этот старик решился сбросить эту штуку с воздуха... И к тому же пять канистр.+Но в каждой канистре, похоже, не так много... а это значит, что заражённая зона тоже будет не слишком большой...
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:Разве не это вызвало предыдущую мировую войну?
UMP9(2);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Подумать только, у нас есть Кукла, которая действительно изучила свою историю. Это заслуживает похвалы.
UMP9(3)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:Хехехе...
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Если смешать жидкость Коллапса с дистанционно управляемыми взрывчатыми веществами, то, наверное, получится грязная бомба? +Эта штука при взрыве будет гораздо сильнее влиять на людей, чем на Кукол, да?
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Радиация Коллапса. Куклы изначально были придуманы, потому что люди не могли заходить в зоны, где было много радиации. Это тоже часть уроков истории.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Так что не только мы умрём.
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Это может прозвучать странно из моих уст, но я единственная, кто может умереть.+В конце концов, смерть — это далёкое понятие для Кукол.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Далёкая концепция, да... +Я не могу с этим просто согласиться.
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Это правда. В конце концов, ты прошла через вещи, которые не знакомы обычным Куклам. +Ладно, хватит болтать. Я отправила координаты, где их нужно установить. Как только они будут на месте, уходи как можно дальше от них. +Куклы не так легко подвержены воздействию Радиации Коллапса, но взрыв создает экстремальные температуры, которые могут расплавить даже военную броню.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;NPC-Ange(0)||:Идеальное оружие для борьбы с Военными и Сангвис Ферри.
AR15Mod(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Да, но я бы хотела, чтобы мы все ушли подальше от места взрыва, прежде чем его использовать.
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:Но я думаю, что мы сможем уйти только если с нами будет Владыка?
UMP45(0);NPC-Ange(0)<Speaker>Анжелия</Speaker>||:Мы либо поймаем её, либо всех взорвем.
UMP45(0)<Speaker>UMP45</Speaker>||:Ну, вы её слышали. Все знаете, что делать?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Если будем работать в паре, то быстрее справимся. Я возьму две канистры.
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:Без проблем. 9-я будет со мной, а 416-я будет с Gr G11. Ладно, приступайте к работе~

