()||<BIN>9</BIN><BGM>BGM_Room</BGM>：...
M16A1()<Speaker>M16A1</Speaker>||：Персика!+...+Вызываю Персику!
Persica()<Speaker>Персика</Speaker>||<黑屏1>：А, да. Я здесь.
NPC-Persica(0)<Speaker>Персика</Speaker>||<BIN>22</BIN><黑屏2>：Извиняюсь. Я проверяла M4.
M16(3)<Speaker>M16A1</Speaker><scan><通讯框>;NPC-Persica(0)||：Как... она?
M16(3);NPC-Persica(0)<Speaker>Персика</Speaker>||：Все идет... по плану. Но, кроме этого, RO не видела, чтобы ты что-то делала в базе данных, верно?
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：Нет, я уже все уладила к тому времени, когда она вышла.
M16(3);NPC-Persica(0)<Speaker>Персика</Speaker>||：Понятно... Как у тебя дела?
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：Хм. Лучше не говори мне... еще не поздно раскаяться в своем решении.+Но у меня есть вопрос. Скажем, это просто дикое подозрение, вызванное нестабильностью моего нейронного облака. Ты сможешь на него ответить?
M16(3);NPC-Persica(0)<Speaker>Персика</Speaker>||：Теперь, когда мы здесь... спрашивай прямо.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：Что касается смерти Лико, я провела поиск в базе данных Грифона, и 378 сообщений утверждают, что он погиб в результате несчастного случая.+Поэтому я не понимаю, почему ты так зациклилась на этом...+Что бы он ни сделал, он уже мертв. Почему тебя это еще волнует?
M16(3);NPC-Persica(3)<Speaker>Персика</Speaker>||：Потому что его смерть была крайне подозрительной.+Даже если он действительно умер, это не могло быть несчастным случаем...+Поэтому я в это не верю.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||：Ха, кто бы мог подумать, что ты такая въедливая.+Ты действительно только ученая, Персика?
M16(3);NPC-Persica(0)<Speaker>Персика</Speaker>||：Как и ты, М16, я не раз попадал в смертельную опасность. Выживание — это навык.+В любом случае, эта вещь — твоя цель.+Командир сдержит атаку С.Ф., чтобы ты смогла провести расследование в относительной безопасности.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：Исследовать... этот странный источник сигнала...?+Когда ты его заметила?
M16(3);NPC-Persica(0)<Speaker>Персика</Speaker>||：Когда RO внедрилась в мэйнфрейм Сангвиса и начала поиск файла № 7...+Я тайно провела многоканальный поиск в сети, используя нейронное облако RO, и скачала интересный файл.
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||：Напомню, что все файлы на мэйнфрейме Сангвиса потенциально являются источниками вирусов...+Хм, но это уже не имеет значения, не так ли...
M16(0);NPC-Persica(2)<Speaker>Персика</Speaker>||：Даже сама RO может нейтрализовать такой слабый вирус Сангвиса, но дело не в этом.+Я скачала именно этот файл, потому что он зашифрован совершенно иным способом, чем стандартный метод шифрования Сангвиса.+Следовательно, это послание. Приглашение, которое обещает все, кроме дурацкого задания... Ты получила координаты, да?
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：Приглашение... говоришь?+За всю мою карьеру на службе я никогда не получала такого зловещего приглашения.
M16(2);NPC-Persica(2)<Speaker>Персика</Speaker>||：Что? Теперь, когда ты зашла так далеко, ты испугалась?
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：Даже МОЕ нейронное облако может выйти из строя... Особенно сейчас.+...Жаль... его нельзя скопировать.+Весь этот опыт... не пригодится М4.
M16(2);NPC-Persica(2)<Speaker>Персика</Speaker>||：Ты, кажется... думаешь о ней все время, когда что-то делаешь.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(2)||：Да... + Все это ради защиты М4... + Это единственный приказ, который ты мне дала, и он безусловный.
M16(3);NPC-Persica(2)<Speaker>Персика</Speaker>||：Я счастлива, что ты его еще помнишь.+Она скоро проснется, М16. Если ты поспешишь, то еще успеешь попрощаться с ней.
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>：Нет, все в порядке. У меня нет времени думать, что сказать...+Лучше приступить к делу. Это... единственное, что я могу сделать сейчас.

