()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>157</BIN><黑屏2><BGM>BGM_Boss</BGM>:...Ночь закончилась, и небо начинает становиться розовато-белым. Все готовятся к решающей битве.
NPC-AngeDamage(3)<Speaker>Анжелия</Speaker>||:Новые враги?! Почему ты ничего не сказала?!
HK416(0)<Speaker>416</Speaker>||:Наша миссия до сих пор не требовала такой информации! +У тебя есть какие-нибудь идеи, Анже?
NPC-AngeDamage(0)<Speaker>Анжелия</Speaker>||:Нет... но я могу попробовать предположить, исходя из их характеристик. Как они выглядят?
SOPIIDamage(3)<Speaker>M4 SOPMOD II</Speaker>||:Ты скоро сама это увидишь.
AN94(2)<Speaker>AN-94</Speaker>||:Изготовление всех этих бомб значительно ослабило огневую мощь наших ГОгП. +Если они сейчас израсходуют все оставшиеся снаряды, наш следующий шаг...
NPC-AngeDamage(3)<Speaker>Анжелия</Speaker>||:Используй их все. Ничего не оставляй. Это наш последний ход. +Командир, как дела?
()<Speaker>Командир</Speaker>||:... <c>Отстой, но слава богу, ты уже в пути, SOP-II и RO. <c>Я в порядке. По крайней мере, я рад, что ты вернула Анже в целости и сохранности, 416-я. <c>Ты уверена, что хочешь прийти за нами с DEFY?
SOPIIDamage(0)<Speaker>M4 SOPMOD II</Speaker>||<分支>1</分支>:Хе-хе, конечно же! Ты же наш Командир!
RO635(6)<Speaker>RO635</Speaker>||<分支>1</分支>:Даже если я застряла в этой форме... я все равно буду стараться для тебя!
SOPIIDamage(0)<Speaker>M4 SOPMOD II</Speaker>||<分支>1</分支>:Командир, ты нам столько раз помогал. На этот раз позволь нам помочь тебе!
RO635(6)<Speaker>RO635</Speaker>||<分支>1</分支>:Держитесь, Командир!
HK416(0)<Speaker>416</Speaker>||<分支>2</分支>:Конечно, я это сделала. Мы же говорим обо мне, Командир. Ты должен полностью мне доверять. +Это касается также и этой миссии по твоему спасению.
NPC-AngeDamage(0)<Speaker>Анжелия</Speaker>||<分支>2</分支>:Командир, честно говоря, не ожидала от тебя такой настойчивости. Ты делаешь это только потому, что это твоя работа? Или тебе действительно нравится в Грифоне? +Как бы то ни было, я обязательно отплачу тебе. Конечно, одного спасения в этот раз будет недостаточно, но это уже начало.
AK12(0)<Speaker>AK-12</Speaker>||<分支>3</分支>:Ничего не поделаешь. Приказ Анже. +Шучу. Ты столько раз помогал нам и Анже. Мы должны как-то отплатить тебе за это.
AN94(0)<Speaker>AN-94</Speaker>||<分支>3</分支>:Кстати, эта операция должна закончиться успешно. Для нас будет честью довести дело до конца.
NPC-AngeDamage(0)<Speaker>Анжелия</Speaker>||:Ладно, девчонки. Хотя здесь не все, почти все мои бывшие подчиненные сейчас со мной. +Я прочитала отчет 416-ой. Эти враги сильные и загадочные, но у них только одна цель — схватить Командира. +Мы НЕ дадим им добиться своего. Команда Командира сделает всё, чтобы задержать их, а мы прорвем их окружение и вытащим Командира из убежища...
AK12(2)<Speaker>AK-12</Speaker>||:Ты видела эти статистические данные, Анже? Это будет очень тяжелый бой.
HK416(0)<Speaker>416</Speaker>||:Одна черная Кукла Грифона почти перевернула всю базу Грифона, а эта белая Кукла может быть еще более продвинутой!
NPC-AngeDamage(0)<Speaker>Анжелия</Speaker>||<黑屏1>:Я знаю. Мой опыт говорит мне, что у нас совсем нет шансов. +Но их же никогда нет, правда? В любом случае, Командир сейчас нуждается в нас. -Мы ДОЛЖНЫ добиться успеха и одержать эту последнюю победу для Командира! Пошли!
NytoWhite(0)<Speaker>Белая Кукла</Speaker><通讯框>||<BIN>10</BIN><黑点2>:<color=#00CCFF>Доброе утро, Командир Грифона.</color> +<color=#00CCFF>Не сопротивляйтесь, или мы уничтожим всех ваших подчиненных..</color>
()<Speaker>Командир</Speaker>||:... <c>Ты не сделаешь этого, чудовище! <c>Серьезно? Я в ужасе. <c>Ты позвонила только для того, чтобы сказать это?
NytoWhite(0)<Speaker>Белая Кукла</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>Если мы провалимся, то погибнем. Поскольку мы не можем погибнуть, то мы добьемся успеха.</color>
NytoWhite(0)<Speaker>Белая Кукла</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>Я не слышу страха в твоём голосе. Ты меня обманываешь?</color>
NytoWhite(0)<Speaker>Белая Кукла</Speaker><通讯框>||<分支>3</分支>:<color=#00CCFF>Да, мы хотим посмотреть, как ты реагируешь, и сравнить это с тем, что у нас есть о тебе.</color>
NytoWhite(0)<Speaker>Белая Кукла</Speaker>||:<color=#00CCFF>Субъект не отреагировал с отчаянием. Предположение неверно.</color> +<color=#00CCFF>После того, как объект будет пойман, нужно продолжить наблюдение..</color>
NPC-AngeDamage(3)<Speaker>Анжелия</Speaker>||:Мы тебе не позволим это, чучело! Мы преодолеем твою блокаду и спасем Командира!
NytoWhite(0)<Speaker>Белая Кукла</Speaker><通讯框>||:<color=#00CCFF>Все ваши усилия тщетны.</color> +<color=#00CCFF>Раз ты не хочешь сдаться, я скоро тебе это продемонстрирую.</color> +<color=#00CCFF>Ну что ж, Нито, пора начинать охоту!</color>

