 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><Night>:Аванпост под контролем.
PM(0)<Speaker>Макаров</Speaker>||:Аванпост под контролем. Безупречная работа, Командир.+Я начну расшифровку данных. Дай мне стул, СКС.
SKS(0)<Speaker>СКС</Speaker>||:Ха, и где ты предлагаешь мне взять стул? Мы даже не нашли дверную ручку, когда пришли.
AK47(0)<Speaker>AK-47</Speaker>;SKS(0)||:Хм... Как Сангвис может вынести существование в этом мусорном контейнере?
AK47(0);SKS(0)<Speaker>СКС</Speaker>||:Это место только для тех, кто занимает низшие ступени. Ты должна радоваться, что здесь есть хотя бы порт для зарядки.
AK47(0)<Speaker>AK-47</Speaker>;SKS(0)||:Ха, мне жаль этих мопсов и рыбок-ангелов.
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:Ты не рыба. Откуда ты знаешь, что их они такие несчастные?
AK47(0)<Speaker>AK-47</Speaker>;SKS(0)||:Только полюбуйся на это место. Ни капли водки. Я не выдержу здесь и получаса.
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:Видишь ли, АК47, это твоя проблема. Ты не должна предаваться таким мирским удовольствиям и бухать.+Ты всегда должна думать о цели нашего существования в качестве Т-Кукол.
AK47(0)<Speaker>AK-47</Speaker>;SKS(0)||:Тц. То есть ты хочешь сказать, что эти отбросы Сангвиса имеют более высокую цену, чем я?
PM(0)<Speaker>Макаров</Speaker>;SKS(0)||:Что за чепуху вы двое несете?
PM(0);SKS(0)<Speaker>СКС</Speaker>||:Неужели тебе ни капельки не интересно, Макаров? О происхождении и цели Т-кукол Сангвиса?
PM(0)<Speaker>Макаров</Speaker>;SKS(0)||:Они - враги, угрожающие интересам Грифона. Мы просто обязаны их уничтожить.
PM(0);SKS(0)<Speaker>СКС</Speaker>||:Хмф. Ты, конечно, много знаешь, Макаров, раз так хорошо дружишь с OTs-14.
PM(0);AK47(0)<Speaker>AK-47</Speaker>||:Именно. Давай, расскажи нам какую-нибудь инсайдерскую новость!
PM(0)<Speaker>Макаров</Speaker>||:...+Вот, местонахождение цели достигнуто. Перерыв окончен.
SKS(0)<Speaker>СКС</Speaker>||:Эй! Ты что-то знаешь, да?! Ты, наверное, много знаешь, Макаров!
PM(0)<Speaker>Макаров</Speaker>||:...Что изменится от этих знаний?+AK47, СКС, что бы мы ни знали, наш приказ Т-Куклам никогда не изменится.+Уничтожить Сангвис Ферри - это все, что нам нужно сделать. Так что давайте продолжим нашу миссию.
