 ()||<BGM>BGM_War</BGM><BIN>4</BIN><Night><SE1>Battlefield</SE1>:На временной базе M9 началось сражение с Сангвис Ферри.
M9(0)<Speaker>M9</Speaker>||<SE2>Gunfight</SE2>:Обнаружен болванчик командира Сангвиса! М21, приготовься!
M21(0)<Speaker>M21</Speaker><通讯框>||:Вот, скажи «сыр», мразь из Сангвиса!
M1911(0)<Speaker>M1911</Speaker><通讯框>||<SE2>Gunfight</SE2>:Их броненосное подразделение не успевает своевременно отреагировать! Сейчас же, Ингрэм!
MAC10(1)<Speaker>Ингрэм</Speaker><通讯框>||<SE1>Battlefield</SE1>:ХАХАХАХА! БУМ! РАЗЛЕТАЙТЕСЬ НА КУСКИ, ОБСОСКИ!
M1928A1(0)<Speaker>Томпсон</Speaker><通讯框>||:Теперь, SuperSASS! Штурмуем комнату управления!+Военные наступают с фронта. Не дайте им захватить славу!
SuperSASS(0)<Speaker>Super SASS</Speaker><通讯框>||<SE1>Battlefield</SE1>:Принято. Выдвигаемся!
MAC10(1)<Speaker>Ингрэм</Speaker><通讯框>||<黑屏1><SE2>Gunfight</SE2>:ХАХА! БЕГИ, SUPERSASS, БЕГИ!
 ()||<黑屏2><SE1>Battlefield</SE1>:Войска Сангвиса начали отступать.
M21(0)<Speaker>M21</Speaker><通讯框>||<SE2>Gunfight</SE2>:Убедитесь, что вы опередили военных, иначе у нас не будет другого выбора, кроме как расправиться с ними.
M1911(0)<Speaker>M1911</Speaker><通讯框>;M21(0)||<SE1>Battlefield</SE1>:Не надо так шутить, М21. А что, если это люди?
M1911(0);MAC10(1)<Speaker>Ингрэм</Speaker><通讯框>||:Хмф. Разве люди не сделали оружие, чтобы убивать друг друга?
M9(0)<Speaker>M9</Speaker><通讯框>;MAC10(1)||<SE2>Gunfight</SE2>:Не слушай ее, SuperSASS.+В конце концов, мы - очаровательные Т-Куклы для гражданского использования. Мы просто должны вести себя мило, когда сталкиваемся с людьми!
M9(0);SuperSASS(0)<Speaker>Super SASS</Speaker><通讯框>||:(Вынужденный смех) Извините, но я не проходила такого обучения.
M21(0)<Speaker>M21</Speaker><通讯框>;SuperSASS(0)||:Черт, вам, новичкам, приходится легко. В мое время нам приходилось сдавать экзамены на умение шутить.
M21(0);MAC10(1)<Speaker>Ингрэм</Speaker><通讯框>||<SE1>Battlefield</SE1>:Ха, тогда ты, должно быть, присоединилась к Грифону только потому, что провалила свой стендап или что-то в этом роде.
M1911(0)<Speaker>M1911</Speaker><通讯框>;MAC10(1)||:Ты не должна спрашивать своих спутников об их прошлом, Ингрэм.+Мы все теперь часть Грифона. Это единственное, что имеет значение.
M1911(0);SuperSASS(0)<通讯框><Speaker>Super SASS</Speaker>||<黑屏1>:SuperSASS захватила комнату управления. Повторяю, SuperSASS захватила комнату управления!
M21(0)<Speaker>M21</Speaker><通讯框>||<黑屏2><BGM>BGM_Sunshine</BGM><BIN>4</BIN>:Солнце взошло, и победа за нами.
M1928A1(0)<Speaker>Томпсон</Speaker><通讯框>||:1911, обязательно попроси у Хелиан больше процентов. Это было утомительно.
M1911(0)<Speaker>M1911</Speaker><通讯框>||:Вам придется подождать, пока я не передам командиру «поцелуй победы».
M21(0)<Speaker>M21</Speaker><通讯框>||:Итак, 1911 выиграла соревнование?
M1911(0)<Speaker>M1911</Speaker><通讯框>||:Да и не было никакой гонки, не так ли? Кстати, а где М9? Она уже отключилась? М9? Ты там?
MAC10(1)<Speaker>Ингрэм</Speaker><通讯框>||:Ты опоздала, 1911. М9 уже мчится к центру управления.
M1928A1(0)<Speaker>Томпсон</Speaker><通讯框>||<黑屏1>:Хаха, тебе действительно не стоило ее спасать, моя дорогая.
M1911()<Speaker>M1911</Speaker>||<黑屏2><BIN>9</BIN>:...+Этим Т-Куклам Грифона... не помешало бы еще немного подрасти...
