()||<BGM>BGM_NightOPS</BGM><BIN>10</BIN>:Десять минут спустя.
PM(0)<Speaker>Макаров</Speaker><通讯框>||:Везде тишина. Сангвис Ферри еще не предприняли никаких действий.
RO()<Speaker>RO</Speaker>||:Они проводят испытания какого-то артиллерийского орудия в этом городке.+Нападение было направлено не на нас, так что вероятность того, что 92-ая и остальные выживут, очень высока.
PM(0)<Speaker>Макаров</Speaker>||:О? С чего ты это взяла?
RO()<Speaker>RO</Speaker>||:Кто-то в этом разбирается. Мне только что передали.
PM(0)<Speaker>Макаров</Speaker>||:Только что? После того, как ты поплакала у меня на плече?
RO()<Speaker>RO</Speaker>||:Не нужно говорить об этом в такой неловкой форме! Я просто немного выпустила пар!
PM(0)<Speaker>Макаров</Speaker>||:Понятненько... +Кстати, мой способ выплеснуть эмоции - это распространить информацию о том, как выплескивают эмоции другие. +Я все это записала. С нетерпением жду завтрашнего «Fatebook».
RO()<Speaker>RO</Speaker>||<黑屏1>:...+Вот почему я хотел, чтобы 92-ая стала моим адъютантом...+Ладно, вернемся к делу. Давайте начнем.
PM(0)<Speaker>RO</Speaker>||<黑屏2><BIN>8</BIN>:Макаров, ты у пульта управления, верно?+Я передаю тебе инструкции как отвлечь отряды Сангвиса.+Я сама пойду проверю состояние всех и по возможности верну их обратно.
PM(0)<Speaker>Макаров</Speaker>||<黑屏1>:(Вздох) Поняла.+ Ты не захочешь оставаться в комнате управления, даже если я тебе это посоветую.+ Но я все равно обязана сказать тебе, что это слишком рискованно.
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>9</BIN>:Спасибо за предупреждение, но делай свое дело, Макаров.+Если со мной что-нибудь случится, забирай наши отряды и возвращайся сама.
PM(0)<Speaker>Макаров</Speaker>||:...+RO, я только что вернулась от Хелиан и узнала много нового.+В том числе и то, что ты хочешь узнать - что AR-15 оставила после себя...
RO()<Speaker>RO</Speaker>||:...
PM(0)<Speaker>Макаров</Speaker>||:Вернешься живым, и я тебе все расскажу, поняла?
RO()<Speaker>RO</Speaker>||<黑屏1>:...+Договорились.+Подумай, с чего начнеш, прежде чем я вернусь.
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>10</BIN>:Тогда начнем. Я передаю управление тебе, Макаров.+Сначала разверни наши силы здесь...
