()||<BIN>7</BIN><BGM>BGM_Frontline</BGM>:...
UMP45(0)<Speaker>UMP45</Speaker>||:Верно. Подготовка закончена, RO?
RO635(0)<Speaker>RO635</Speaker>||:Ты уверена в этом, 45-я?
UMP45(0)<Speaker>UMP45</Speaker>||:Я передала тебе обе наши карты и свое предположение. Остальное зависит от того, насколько ты мне доверяешь.
RO635(0)<Speaker>RO635</Speaker>||:...Окей.
RO635(5)<Speaker>RO635</Speaker>||:Слушаем. Отряд 404 проникнет на базу Сангвиса и отключит основной источник питания орудий.
M16(3)<Speaker>M16A1</Speaker>||:Все тот же самый трюк? Архитектор будет готова к этому.
UMP45(0)<Speaker>UMP45</Speaker>||:Я уже кое-что поняла. +Ее полномочия не позволяют ей одновременно охранять все источники энергии.
RO635(0)<Speaker>RO635</Speaker>||:Это даст нам немного времени, но его хватит, чтобы выбраться.
UMP9(0)<Speaker>UMP9</Speaker>||:Мы не только заблокируем энергоснабжение, но и уничтожим их канал связи. +Это нарушит их координацию и даст нам еще больше времени.
RO635(0)<Speaker>RO635</Speaker>||:Вот и все. Тем временем M1887 поведет остальных Т-Кукол, чтобы обратить на себя внимание Замерщицы. 
M1887(0)<Speaker>M1887</Speaker><通讯框>||:Значит, мы столкнемся с двумя главарями одновременно?
RO635(0)<Speaker>RO635</Speaker>||:Действительно. Боюсь, вам придется предварительно создать резервную копию ваших нейронных облаков. +Не волнуйтесь. Я уделю каждому из вас внимание еще до того, как отряд 404 выполнит свою задачу.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Но это уже перебор...
RO635(0)<Speaker>RO635</Speaker>||:Это наш единственный шанс. +Команда AR совершит налет на базу, взломает ее систему управления и откроет шлюз, ведущий наружу. +Тогда все дружно направятся к воротам и будут готовы встретить спасательную группу на вертолетной площадке. Понятно?
M16(3)<Speaker>M16A1</Speaker>||:RO... +Ты единственная, на кого мы можем рассчитывать. Надеюсь, ты это понимаешь.
RO635(0)<Speaker>RO635</Speaker>||:Не переживай. Я помню, что ты сказала. +Пожалуйста, доверьтесь мне, и давайте вместе вернемся домой.
M1887(0)<Speaker>M1887</Speaker><通讯框>||:Я буду выполнять все приказы командующего, ведь это первый приоритет для всех Т-Кукол.
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:Очень хорошо. Есть еще возражения? +Тогда давайте подготовимся к нашей последней проверке, RO.

