()||<BIN>8</BIN><BGM>BGM_Battle</BGM>:Контрольный пункт Грифона, зона S08, несколько минут спустя.
M16(3)<Speaker>M16A1</Speaker>||:Командир, извините, но у меня плохие новости. Мы потеряли связь с M4A1 и SOP-II, когда они преследовали AR-15...
NEGEV(0)<Speaker>Negev</Speaker><通讯框>;M16(3)||:Эй, М16, Командир! Вы там?! +Мы только что обнаружили местонахождение SOP-II!
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:А? У них восстановилась связь?
NEGEV(0)<Speaker>Negev</Speaker>;M16(3)||<黑点1>:Не уверена. Мы только регистрируем сигнал SOP-II. Никаких новостей о М4 пока нет.+И SOP-II не отвечает на наши вызовы.+ В любом случае, я отправляю вам ее координаты!
NEGEV(0)<Speaker>Negev</Speaker><通讯框>||<黑点2><BIN>10</BIN>:Эта зона находится не очень далеко от базы, но сюда только что прибыло большое количество солдат Сангвиса.
M16(3)<Speaker>M16A1</Speaker>||:Что? Алхимик решила вернуться?
NEGEV(0)<Speaker>Negev</Speaker><通讯框>||:Не знаю, но похоже, что это не так... +Во-первых, их слишком много. Командовать таким количеством отрядов Алхимику не под силу.+Во-вторых, их перемещения... выглядят хаотично. Не похоже, чтобы у них была четкая цель.
M16(3)<Speaker>M16A1</Speaker>||:Если они не были направлены на нас, значит, нам пока не стоит беспокоиться.+Доложим Хелиан и попросим ее проверить базу данных на предмет возможных подозреваемых командиров.
NEGEV(0)<Speaker>Negev</Speaker><通讯框>||:Именно таков мой план. Но и вы, будьте осторожны.+Командир должен прорваться сюда, чтобы добраться до SOP-II.+К счастью, сигнал снова в норме, так что Командир может направить наши силы в этот район.
M16(3)<Speaker>M16A1</Speaker>||:Поняла, Negev.+ Командир, прошу двигаться осторожно. Отправляемся на помощь SOP-II!
