()||<BIN>8</BIN><BGM>BGM_War</BGM>：......+...
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||<黑屏1>：Командир, вы уже в вертолете?+У меня для вас хорошие новости. Мы зафиксировали сильный сигнал бедствия, поступающий с линии фронта, который, как мы подозреваем, исходит от команды AR.+Я полагаю, что вы не хотите, чтобы команда AR понесла еще больше потерь,  пожалуйста, как можно скорее отправьте людей на их спасение.+Кроме того, было бы лучше, если бы вы смогли быстро завершить спасательную операцию. Я только что получил сообщение от г-на Крюгера, подтверждающее наше участие в крупномасштабной операции.+Вы оба были на военном банкете, поэтому должны понимать ситуацию лучше, чем я.+...У вас и Команды AR не осталось много времени. Желаю вам удачи.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>10</BIN><SE1>Battlefield</SE1>：Я вижу, что к нашей позиции приближается большая группа войск Сангвиса!
RO635(5)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>：Они действительно быстро реагируют! + Я тоже обнаруживаю сильный сигнал. Шаблон совпадает, это Судья!
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||：Она никогда не догадается, что это снова мы!
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>：Как только она появится, ты сможешь выскочить и напугать ее криком «СЮРПРИЗ чёртов карлик!».
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||：Хе-хе, хорошая идея!+Но только вдвоём, это может быть...
NEGEV(0)<Speaker>Negev</Speaker><通讯框>||：Отряд Negev, приветствует Команду AR! Вы двое еще живы?
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>：Очень вовремя! Команда AR приветствует отряд Negev. Это RO, мы ждем спасателей в указанном месте.
RO635(5);NEGEV(0)<Speaker>Negev</Speaker>||：Принято! + В следующий раз не убегайте так далеко, а еще лучше, если сможете сами добирайтесь обратно, ладно?
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE1>Battlefield</SE1>：Я так бы с удовольствием и сделала, если бы Сангвис были столь же понимающими, как ты! К тому же, я думала, ты любишь работать сверхурочно!
RO635(5);NEGEV(0)<Speaker>Negev</Speaker>||：Мне не нравится иметь с вами дело! В следующий раз я действительно должна найти работу подальше!+...В любом случае, какова текущая ситуация?
RO635(4)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>：Не хватает энергии, воды, боеприпасов. Нам не хватает всего. Когда прибудет подкрепление?
RO635(4);NEGEV(0)<Speaker>Negev</Speaker>||：Мы — передовой отряд спасательной группы. Войска Командира прибудут в ближайшее время.
RO635(0)<Speaker>RO635</Speaker>;NEGEV(0)||：Ах да, усовершенствованная Т-Кукла Сангвис, Судья, тоже приближается к нашей позиции. У нее есть важная информация!+Мы надеемся захватить ее живой, так что, пожалуйста, подавите ее всеми силами. Мы придумаем, как справиться со всем остальным.
RO635(0);NEGEV(0)<Speaker>Negev</Speaker>||<SE2>Gunfight</SE2>：Тч... Командир сказал мне, что это спасательная операция, а не захват врага.
RO635(2)<Speaker>RO635</Speaker>;NEGEV(0)||：Жизнь непредсказуема, мисс Negev! Если ты собираешься нам помочь, то по крайней мере должна довести дело до конца!
RO635(2);NEGEV(0)<Speaker>Negev</Speaker>||<SE1>Battlefield</SE1>：Помочь вам? Ты действительно меня не понимаешь, мисс RO...+Однако я действительно была бы рада принять участие в каком-нибудь разрушении. Мы подготовимся и будем ждать твоего сигнала.
RO635(5)<Speaker>RO635</Speaker>||：Спасибо! Тогда приступим!

