()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏2>:... +Через пятнадцать секунд после сбоя связи.
格里芬人形A()<Speaker>Т-Кукла Грифона A</Speaker>||<BGM>BGM_War</BGM><火花>:Что... нам теперь делать?
格里芬人形C()<Speaker>Т-Кукла Грифона C</Speaker>||:Не знаю. Связь оборвалась, но войска Сангвиса... похоже, тоже остановились.
格里芬人形A()<Speaker>Т-Кукла Грифона A</Speaker>||:Так... нам ждать?
格里芬人形B()<Speaker>Т-Кукла Грифона B</Speaker>||:Мы будем просто легкой мишенью, да?+ Я не хочу умирать понапрасну. По крайней мере, дайте мне выстрелить или что-нибудь сделать—!
格里芬人形A()<Speaker>Т-Кукла Грифона A</Speaker>||:Хватит! Никто не знает, где находятся другие, ты можешь попасть в наших!
格琳()<Speaker>Калин</Speaker>||:Т-Куклы Грифона!
格里芬人形C()<Speaker>Т-Кукла Грифона C</Speaker>||:Это Калин! Она использует мегафон!
格琳()<Speaker>Калин</Speaker>||:На Северо-Западной стороне 315 есть брешь! +Спешите! Бегите туда как можно быстрее! +Неважно, сколько вас! Все вместе, работайте сообща и бегите изо всех сил!
格里芬人形B()<Speaker>Т-Кукла Грифона B</Speaker>||:Впереди драка! Пойдем и мы!
格里芬人形C()<Speaker>Т-Кукла Грифона C</Speaker>||:Я пойду впереди! Не забудьте вернуть моё нейронное облако! +Урааааааааааааааааа
BOSS-7(0)<Speaker>Гейгер</Speaker>||<黑屏1>:Эй! Подождите минутку! +П-почему они вдруг... +Это непростительно! Всем подразделениям, в атаку!
