()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635(0)<Speaker>RO635</Speaker>||<黑屏2><BGM>BGM_Sneak</BGM><BIN>167</BIN>:Это оказалось проще, чем я думала... Может, враги не успели развернуть серьезную оборону...? +Может, мне просто взять управление на себя...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:RO! RO, очнись!
RO635(0)<Speaker>RO635</Speaker>||:Что такое...? Я еще не совсем закончила...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Белые враги! Они приближаются к нам! +Они обнаружили наше местонахождение...?
??()||:<color=#00CCFF>Черт. Твой ангел-хранитель уже сказал тебе не трогать эту панель управления.</color> +<color=#00CCFF>Эти придурки поставили такую жалкое ловушку, а попавшаяся в нее добыча оказалась не тем кроликом, за которым они охотились... День складывается довольно забавным.</color>
RO635(4)<Speaker>RO635</Speaker>||:Принудительная связь? +Кто ты такой?
RO635(4)<Speaker>??</Speaker>||:<color=#00CCFF>Кролики будут зажарены, если не начнут бежать.</color>  +<color=#00CCFF>Я никогда не делюсь информацией бесплатно, но в этот раз сделаю для тебя исключение – можешь заплатить мне позже.</color>
RO635(0)<Speaker>RO635</Speaker>||:Передача... идет из потайного прохода в канализации?
RO635(0)<Speaker>??</Speaker>||:<color=#00CCFF>Если ты сейчас уйдешь, то, может быть, еще успеешь выбраться живой. Если ты так просто сдохнешь, то моя жизнь станет намного сложнее.</color>
RO635(4)<Speaker>RO635</Speaker>||:Ты наш информатор? Где ты?! +Черт, сигнал уже пропал...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Что теперь делать? Это был он, да? Если мы сейчас отступим, то все, что мы сегодня сделали, будет зря!
RO635(0)<Speaker>RO635</Speaker>||:В любом случае, нам нужно действовать прямо сейчас... +Если белые враги окружат эту комнату, то будет действительно конец игры.
RO635(0)<Speaker>RO635</Speaker>||Командир, ты еще тут? Мне очень жаль, но нам нужна помощь прямо сейчас! +Есть секретный проход, который поможет нам уйти от врагов, когда мы войдем в канализацию. Прикрой наше отступление! +И SOP-II, отдай свою псину!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Собака? Ты имеешь в виду Банана?
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:Мне все равно, как эта хрень называется... Мне нужно его одолжить, чтобы отследить сигнал информатора. +Если он смог установить с нами связь, то он не может быть далеко отсюда. +У нас еще есть время, пока не прибудут войска Командира. Я не позволю, чтобы наши усилия пропали даром!

