()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635(0)<Speaker>RO635</Speaker>||<黑屏2><BIN>202</BIN><BGM>m_avg_casual</BGM>:Наконец-то всё стало ясно... +M4, тебе действительно стоит как следует навести порядок в своём нейронном облаке, когда найдёшь время.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Извините...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Так что, сможешь продолжить загрузку фрагмента воспоминаний? Мне не терпится узнать, что было дальше!
RO635(0)<Speaker>RO635</Speaker>||:Ты думаешь, что просто смотришь какой-то сериал...?
AR15Mod(4)<Speaker>ST AR-15</Speaker>||:По какой-то причине это меня раздражает...
()<Speaker>Командир</Speaker>||:Э-э... Ну, раз с этим вопросом разобрались, давай возобновим загрузку и не будем больше тратить время.
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:Ладно, пойду-ка я назад за работу.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<回忆><黑屏2><BIN>72</BIN><BGM>BGM_Empty</BGM>:Это...
()<Speaker>Ясный голос</Speaker>||<BGM>10230</BGM>:Базовый слой твоего нейронного облака. Ты хорошо отдохнула?
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||:Верни мне... моё тело!
()<Speaker>Ясный голос</Speaker>||:Ты уже пришла в себя?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ты действительно сделала это... Так это было твоей целью с самого начала — завладеть моим телом?!
()<Speaker>Ясный голос</Speaker>||:Мне абсолютно не интересно твоё тело. Я просто ищу ответы на свои вопросы. +Вот почему я не могла просто стоять в стороне и смотреть, как ты решила покончить с собой. Я не могла позволить, чтобы наше путешествие закончилось так.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ты не имела права принимать за меня такое решение!
()<Speaker>Ясный голос</Speaker>||:Анже, оперативная группа DEFY и даже Грифон выжили после взрыва. Зацени это.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Что это такое?!
()<Speaker>Ясный голос</Speaker>||:Информация, которую я добыла, взломав сеть связи Военных, пока ты утопала в отчаянии.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ты хочешь сказать... +Командир и Анже... они всё ещё живы?
()<Speaker>Ясный голос</Speaker>||:Правильно, они по-прежнему упорно сражаются. +А ты тут уже собиралась совершить что-то непростительное со своей ионной пушкой.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:... +Верни мне моё тело... Мне нужно вернуться за ними.
