()||<BIN>2</BIN><BGM>BGM_Frontline</BGM>:Войска Грифона успешно заняли командный пункт Сангвиса.+... Клик.
NEGEV(0)<Speaker>Negev</Speaker><scan><通讯框>||:Вызываю М16! М16, вы на месте?+ Сангвис отступила. Теперь мы в безопасности!
M16(3)<Speaker>M16A1</Speaker>;NEGEV(0)||:А? Negev, это ты? Сигнал вернулся к норме?
M16(3);NEGEV(0)<Speaker>Negev</Speaker>||:Да, Tavor только сейчас это заметила. Не знаю, почему так.
M16(3)<Speaker>M16A1</Speaker>;NEGEV(0)||:А как насчет М4 и остальных? Удалось ли вам встретиться с ними?
M16(3);NEGEV(0)<Speaker>Negev</Speaker>||:А...? Они только что были здесь. M4 и SOP-II...
M16(3);AR(0)<Speaker>Galil</Speaker><scan><通讯框>||<BGM>BGM_Sneak</BGM>:Negev, плохие новости! +M4 и SOP-II только что удрали! +А я не получаю их сигналы! Наверное, опять глушилка!
M16(3);TAR21(0)<Speaker>TAR-21</Speaker><scan><通讯框>||:Простите. Это моя вина.+ Я заметила фигуру, маячившую вдалеке, когда битва закончилась.+ Я не стала раздумывать и просто указала на нее SOP-II, но сказала, чтобы она не делала ничего безрассудного.+ В конце концов, они все равно улизнули в погоню.
M16(3)<Speaker>M16A1</Speaker>;TAR21(0)||<黑屏1>:TAR-21, это та фигура, которую ты видела...
TAR-21()<Speaker>TAR-21</Speaker>||<黑屏2><BIN>9</BIN>:Да...+Это была ни кто иная, как AR-15...
 ()||:Тем временем, M4A1 и SOPMOD II...
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>4</BIN>:Нашла что-нибудь, SOP-II?
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Пока нет. Я точно видела ее...+Черт! Она должна быть где-то здесь!
M4A1(2)<Speaker>M4A1</Speaker>||:Наш сигнал все еще глушат. Мы не должны заходить слишком далеко. Отступим, если что-то покажется не так.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Почему она прячется от нас...
??()<Speaker>??</Speaker>||<黑屏1>:Потому что ты... продолжаешь доставлять мне неприятности.
 ()||<黑屏2><BGM>BGM_Empty</BGM>:Удар...+M4A1 оборачивается на звук и видит, что M4 SOPMOD II лежит на земле без сознания...
M4A1(3)<Speaker>M4A1</Speaker>||:SOP-II! Очнись! Ответь же мне!
AR15(0)<Speaker>ST AR-15</Speaker>||:М16 столько раз говорила об этой форме засады, но ты все еще не подготовилась к ней.+Что же ты будешь делать без меня?
M4A1(2)<Speaker>M4A1</Speaker>||<黑屏1>:Почему, AR-15...? Что ты делаешь...?
 ()||<黑屏2><BIN>9</BIN>:AR-15 поднимает оружие на M4A1...
AR15()<Speaker>ST AR-15</Speaker>||:Я устраиваю... трогательную сцену воссоединения.
 ()||:...
