()||<SE1>Battlefield</SE1><BIN>7</BIN><Night>:...
G11(2)<Speaker>Gr G11</Speaker>||:Фух... наконец-то мы в безопасности. Как же это выматывает...
UMP9(2)<Speaker>UMP9</Speaker>||:Хехе, 416-я явно более затраханная... +О? Не собираешься отвечать, 416-я?
HK416(2)<Speaker>416</Speaker>||:... +Не странно ли, 45-я? +Почему наши передвижения попали под камеры Архитектора?
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:О? Так ты думаешь, что это было сделано намеренно? +Твоя паранойя снова разбушевалась, 416-я.
HK416(0)<Speaker>416</Speaker>||:Тогда, ответь мне, чтобы разубедить меня.
UMP9(2)<Speaker>UMP9</Speaker>||:416-я...
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:Хмпф... +Для того чтобы подготовить сцену, нужно время. Чем больше это займет времени, тем больше будет наше преимущество.  +Сейчас мы начнем действовать по-настоящему.
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><BIN>10</BIN><黑屏2>:Видишь впереди аванпост?
UMP9(0)<Speaker>UMP9</Speaker>||:Это... база Архитектора, так?
UMP45(0)<Speaker>UMP45</Speaker>||:Правильно. Наша цель - совершить налет.
HK416(2)<Speaker>416</Speaker>||:Ты, блин, шутишь... +Мы на поле, усеянном мощными орудиями. Разве база не укреплена еще сильнее?
UMP45(0)<Speaker>UMP45</Speaker>||:Обычно так и есть. +Но на этот раз мы столкнулись с необычным врагом.
UMP9(0)<Speaker>UMP9</Speaker>||:А мы - нестандартная команда Т-Кукол! +Я верю, что 45-я будет действовать только по тщательно продуманному плану!
G11(0)<Speaker>Gr G11</Speaker>||:Ты снова проиграла, 416-я.
HK416(0)<Speaker>416</Speaker>||:(Вздох) +Ну, ты же у нас лидер.
UMP45(0)<Speaker>UMP45</Speaker>||:Тогда пора двигаться дальше, девочки. +Не дайте Архитектору время на то, чтобы отреагировать. Начинайте бежать!
