SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BIN>10</BIN>:M16, посмотри на это!
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:...!
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>48</BIN>:Это... Юпитер?!
RO635()<Speaker>RO635</Speaker>||:Да, это пушка Юпитера. +Держим дистанцию. У нас нет ни единого шанса против ее мощи.
M16A1()<Speaker>M16A1</Speaker>||:Что ты знаешь об этой штуке, RO?
RO635()<Speaker>RO635</Speaker>||:В прошлом мы уже сталкивались с подобным при патрулировании поселений. +Согласно исследованию Персики, Сангвис Ферри, вероятно, получил эту технологию после взлома базы данных у военных. +Кодовое название «Мардук», созданное специально для того, чтобы противостоять нам.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:Хмпф, «убийцы Грифона», да? +Но ведь есть способ справиться с ними?
RO635()<Speaker>RO635</Speaker>||<黑屏1>:Практически невозможно атаковать их в лоб, но, судя по тому, что мы узнали в ходе предыдущей операции... +Если мы скоординируем наши силы для захвата КПП, окружающих миномет, мы сможем взломать его систему и значительно уменьшить его огневую мощь.
M16A1()<Speaker>M16A1</Speaker>||<BIN>10</BIN><黑屏2>:То есть мы можем нейтрализовать его, пока он находится в полном окружении, верно?
RO635()<Speaker>RO635</Speaker>||:Абсолютно верно. Если мы хотим выступить против этого орудия, то это лучший способ. +Сначала окружить, а потом напасть и уничтожить.
M16A1()<Speaker>M16A1</Speaker>||:Что ж... думаю, нам стоит помолиться, чтобы битва не наступила слишком рано.
RO635()<Speaker>RO635</Speaker>||:Да, подумаем об этом только после того, как пополним запасы. +А сейчас... мы едва ли можем двигаться из-за холода и чувства голода...
()||:【СОВЕТ】Чтобы захватить орудийный узел, необходимо сначала занять соседние узлы, что может значительно снизить огневую мощь пушки.
