()||<BIN>1</BIN><Night><BGM>BGM_Danger</BGM>:Сражение завершено.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>||<BIN>1</BIN><Night>:Все в порядке?
Glock17(0)<Speaker>G17</Speaker>||<BIN>1</BIN><Night>:Фух... Мы в безопасности...
SSG69(0)<Speaker>SSG 69</Speaker>||<BIN>1</BIN><Night>:Будь проклята, Лысая! Теперь я вся в грязи, да еще и в этой отвратительной дряни!
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>||<BIN>1</BIN><Night>:...AUG, что имела в виду Мечтательница... когда сказала, что я была первой, кто сбежала в прошлый раз?
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Так сильно задумываешься над словами Мечтательницы, да? Ты забыла, что нам нужно делать?
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:... +Ты сказала, что мы еще можем успеть, но что мы можем сделать, когда все коммуникации отключены?
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Повторно запусти только что отключенный миномет и прицелься в вертолет Грифона.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Что ты задумала, AUG?
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Мы не можем предупредить отряд «Welrod», находящийся в воздухе. Наш единственный выбор — физически не дать содержимому канистры попасть к Командиру и на базу.
SSG69(0)<Speaker>SSG 69</Speaker>||<BIN>1</BIN><Night>:Да ты должно быть шутишь!
Glock17(0)<Speaker>G17</Speaker>||<BIN>1</BIN><Night>:Фройляйн AUG совершенно не шутит. Она совершенно серьезна... +И это ДЕЙСТВИТЕЛЬНО самый эффективный вариант...
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Надеюсь, ты наконец-то осознала, насколько серьезна ситуация. Твой приказ, пожалуйста.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Уничтожить еще один отряд ради... Я не могу отдать такой приказ...!
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Что тебя беспокоит больше: их частичная потеря памяти или серьезные последствия, если этого не сделать?
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Хватит! +Welrod доверила нам их безопасность, и они должны доставить доказательства обратно. +Должен быть другой способ!
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Факты налицо. У нас нет другого выбора. +Если бы Welrod была на твоем месте, она поступила бы так же.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Я не Welrod. Я не знаю, что бы она сделала...
IWS2000(0)<Position>0,100</Position> ;AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Теперь ты знаешь, почему твои миссии всегда заканчиваются провалом.
Glock17(0)<Speaker>G17</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Все будет в порядке, если мы сможем их предупредить, правда...?! +Есть ли способ нейтрализовать помехи сигнала, вызванные Параплюй?
Glock17(0);AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:У нас нет времени выяснять, из какого именно коммуникационного узла происходит вирус.
SSG69(0)<Speaker>SSG 69</Speaker>;AUG(0)<Position>0,-100</Position> ||<BIN>1</BIN><Night>:Должен быть какой-то способ предупредить Командира. Как насчет яркой сигнальной ракеты?
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:К тому времени, когда дрон его найдет, будет уже слишком поздно.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>||<BIN>1</BIN><Night>:Коммуникационный пост... +Что-то... привлекающее внимание...
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Активируй миномет сейчас, пока вертолет еще находится в пределах досягаемости. +Ты всегда хотела быть более надежной? +Никто не будет винить тебя за такой выбор, IWS.
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>||<BIN>1</BIN><Night>:Нет... Вот оно!
AUG(0)<Position>0,-100</Position> <Speaker>AUG</Speaker>||<BIN>1</BIN><Night>:Что?
IWS2000(0)<Position>0,100</Position> <Speaker>IWS 2000</Speaker>||<BIN>1</BIN><Night>:ЕСТЬ другой способ... +Что бы ни случилось, AUG, я никогда не открою огонь по союзнику. Это мой ответ.

