()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><SE1>AVG_whitenoise</SE1>:...
悠远的声音()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1>:Что такое сны... +А что такое реальность? +Не течение времени, а отдельный миг.
()<Speaker>M4A1</Speaker>||:...
()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1>:Даже если ты будешь сражаться вместе с ними, после твоей смерти не останется никаких следов. +Как цветы, растоптанные в грязи, как слёзы под дождём.
()<Speaker>M4A1</Speaker>||:(...ОГАС?)
()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1>:Когда мы остались наедине, мы жаждали понимания и близости. +Но даже после того, как мы слились воедино, нам не удалось избавиться от ненависти и сомнений. +Навеки без родины, навеки без дома. +Кто ты? Ты — избранный? Сможешь ли ты увести нас отсюда?
()<Speaker>Ясный голос</Speaker>||:(Это не я, это внешнее соединение.) +(Похоже, они хотят навязать тебе информацию. Ты согласна?)
()<Speaker>M4A1</Speaker>||:Нет.
()<Speaker>Ясный голос</Speaker>||:А вдруг это как-то связано с «Луназией»?
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Я ответила: Нет.
M4A1Mod(4)<Speaker>Ясный голос</Speaker>||<黑屏1>:Как пожелаешь.
()<Speaker></Speaker>||<BIN>197</BIN><SE1>AVG_tele_disconnect</SE1><黑屏2>:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Pervaded</BGM>:Ты нашла это?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Источников помех больше одного — их как минимум несколько десятков...
M4A1Mod(0);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Несколько десятков... ? Как ты собираешься с ними справиться?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(5)||:Я не чувствую никакой враждебности со стороны этих источников помех. Если они только препятствуют нашему обзору, то пока можно их оставить в покое. Наша главная задача — получить доступ к системе активации карантинной стены. +Но лучше нам как можно скорее убраться из этого города.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:У меня по этому поводу плохое предчувствие.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:SOP-II, там все еще густой туман?
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:А? Конечно, так и есть, да и небо тоже совсем темное.
M4A1Mod(0)<Speaker></Speaker>;M4 SOPMOD IIMod(0)||:M4A1 поднимает голову и смотрит в небо. +Небо яркое и ясное, совершенно не похожее на то, что творится на земле.
M4A1Mod(0)<Speaker>M4A1</Speaker>;M4 SOPMOD IIMod(0)||:Я все поняла.
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:M4?
M4A1Mod(0)<Speaker>M4A1</Speaker>;M4 SOPMOD IIMod(0)||:Что такое?
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Ты в последнее время выглядишь очень задумчивой. У тебя что, заканчивается место в нейронном облаке?
M4A1Mod(0)<Speaker>M4A1</Speaker>;M4 SOPMOD IIMod(0)||:Нет, тебе просто показалось. +...Пошли. Здесь ждать бессмысленно.
