()||<BIN>99</BIN><BGM>BGM_Room</BGM>:...
AK12(0)<Speaker>AK-12</Speaker><通讯框>||<BIN>99</BIN>:Анже, как у тебя дела?
AK12(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Это твой способ завязать разговор?
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Я слышала, что домашние Куклы изначально были придуманы, чтобы развеять скуку людей.
AK12(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:(Смеётся) Тогда ты отлично справилась, ибо я чувствую себя намного лучше. +Вернёмся к теме. Мне удалось пробраться через оборонительный периметр Военных...
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Ах... это так похоже на тебя, как всегда, хочешь профукать свою жизнь.
AK12(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Да, к сожалению, я просто не могу умереть. +Плохая новость — Военные начинают размещать здесь танки. +В этот сектор заранее был отправлен межконтинентальный поезд, тоже отправленный Военными. Понятно, что они готовили эти подкрепления уже давно.
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Так они даже бросают свои бронетанковые части? +А стоит ли так напрягаться из-за базы мятежных роботов?
AK12(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Это просто значит, что у Сангвис Ферри есть то, что военные хотят заполучить любой ценой. В любом случае, когда эти танки начнут наступление, их уже не остановить.
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Но до этого ещё есть время, верно? До прибытия бронетехники пройдёт как минимум три часа.
AK12(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN>:Вот почему я отметила ретрансляционную станцию. Забери её и найди способ подключиться, чтобы я могла лучше следить за их передвижениями.
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:Нам нужно немного времени, чтобы улучшить маскировку идентификационных сигналов. +Тем не менее, ты знаешь, что сможешь сделать после?
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>99</BIN><黑屏1>:Не переживай, кто-нибудь подскажет мне, что делать дальше+Только вот ей тоже понадобится немного времени.
