()||<BIN>7</BIN><Night><黑点2><BGM>BGM_Sneak</BGM>:...
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Хорошо отдохнули, девчонки? Пора за работу.
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:У меня такое ощущение, что твой взгляд не сулит ничего хорошего... Так куда мы едем?
HK416(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Проснись, Gr G11. Наш босс подкинул нам серьезную задачку. Ты даже не представляешь, насколько она ужачна.
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Не может быть хуже, чем то, что ты здесь... +Эй, Gr G11! Просыпайся!
G11(3)<Speaker>Gr G11</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Уау... что за фигня... +Я спала всего 5 минут...
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:9-я, найди все точки поблизости, которые могут подключиться к сети Сангвис.
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:Сейчас посмотрю... о, рядом есть ретрансляционная станция С.Ф., вокруг которой стоят на страже Куклы Сангвис. Мы сможем её использовать.
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:Супер. Наша первая задача — захватить его. Все готовы?
HK416(0)<Speaker>416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:А ну вставай, Gr G11!
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night><黑屏1>:Да, мы готовы. Поехали.

