()||<BIN>22</BIN><BGM>BGM_Room</BGM>:...
NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:У тебя как всегда беспорядок. +Любой другой инвестор уже жалел бы о потраченных деньгах, если бы увидел, как выглядит твоя лаборатория.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Но ты мой инвестор, и ты будешь благодарен мне за то, что я трачу все деньги на передовые технологии. +Почему ты задержался?
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Я до сих пор не понимаю, как ты не зря истратила мои деньги. +И, как ты знаешь, отделаться от всех этих глаз, устремленных на меня, было не так-то просто. +Я так понимаю, что люди на другом конце слишком заняты сражением, чтобы разговаривать, верно?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Анже нужны новые зацепки и доказательства, а я хочу узнать... правду о Лико.
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Что ты уже знаешь?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Я видела, как погиб Лико... Он был мёртв ещё до того, как Элиза активировалась... +Его застрелила одна из наших Кукол. Он собирался уничтожить документ под названием «Отчёт о повторной активации системы OGAS» или что-то в этом роде... +Мистер Хавьер, в чём именно заключается цель повторной активации системы OGAS? Что вы и Картер делали в 2032 году?
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Хм, Грифон и Шестое управление оказались в дураках. Картер — очень умный человек. Не случайно он прошел путь от рядового офицера до генерала. +...Что касается событий более 30 лет назад, то всё, что я могу сказать, — это то, что мы тогда работали вместе, чтобы сорвать план повстанцев по взрыву секретного объекта недалеко от Минска.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Секретный объект?
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:ОКБ-413. Это кодовое название места, где нашли Реликвию.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Реликвия...
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Картер отвечал за захват цели, а я руководил инженерами, которые обезвреживали её. +Это сооружение было специально построено над местом нахождения Реликвии, чтобы тестировать и калибровать «Пика». +Для обработки данных в нём использовался узел OGAS.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Я помню OGAS... Это была крутая сетевая платформа, которую в 80-х годах использовали в бывшем Советском Союзе для их общенациональной автоматизированной системы...
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Верно, но прототип, наверное, был ещё старше. Оборудование и схемы системы были найдены на месте находки Реликвии. +Хотя это только моё предположение, но, учитывая, насколько продвинутой была эта штука, я думаю, что это была какая-то автоматическая система управления жизнеобеспечением на месте находки Реликвии.
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Во время выполнения миссии войска повстанцев даже пытались перегрузить систему «Пика», чтобы нанести больше ущерба. +Хотя вся система активировалась всего на мгновение... это было скорее похоже на зажигание... +Однако...
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Однако...?
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Место с Реликвией выпустило сильный сигнал в ответ на зажигание, и если бы я не был там, то, глядя на приборы, подумал бы, что взорвалось все место с Реликвией.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Так что, Реликвия... активировалась?
NPC-Persica(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Всего на мгновение. Картер возглавил штурмовую группу, захватившую диспетчерскую. Сразу после отключения «Пика» мы перерезали все кабели, и на этом система OGAS в этом секторе перестала работать.+Это было всего мгновение, но я уверен, что Картер никогда его не забудет.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Так цель Военных — это...
NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Я уверен, что ты уже догадалась, Анже.
NPC-Havel(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:...
