 ()||<BIN>8</BIN><BGM>BGM_Frontline</BGM>:Контрольный пункт Грифона, зона S09.
PM(0)<Speaker>Макаров</Speaker>||:Здравия желаю, Командир. Макаров приветствует вас, Командир отряда «Грифон».+Хотя это задание само по себе является позором, для меня честь служить под вашим командованием.
M1895(1)<通讯框><Speaker>M1895</Speaker>;PM(0)||:Эй, что значит «позор»?! Ты должна спасти заслуженного ветерана с очень почтенной историей!
PM(0)<Speaker>Макаров</Speaker>||:Как видите, на этот раз наша цель - Т-Кукла, обозначенная как «Нагант M1895».+Вы, вероятно, уже знакомы с ней... Или лучше сказать, вы не можете не знать ее...
PM(0)<Speaker>M1895</Speaker>||:Хаха, почему Командир не знает меня? Помните, как зародилась наша дружба на первом же поле боя?
PM(0)<Speaker>Макаров</Speaker>||:Вероятно, вам трудно понять, какой смысл спасать такую старую, слабую, шумную и заурядную Т-Куклу.
PM(0)<Speaker>M1895</Speaker>||:Эй, осторожнее! Или я обращусь к Госпоже Хелиан, чтобы она понизила тебя в должности! Понизила в должности, слышишь?!
PM(0)<Speaker>Макаров</Speaker>||:Впрочем, во время нашей последней операции она случайно обнаружила важный предмет, который необходимо срочно доставить в штаб.
M1895(1)<通讯框><Speaker>M1895</Speaker>;PM(0)||:Поторопись, Макаров! Я все еще нахожусь на складе Сангвисов!
M1895(1)<通讯框>;PM(0)<Speaker>Макаров</Speaker>||:Нагант M1895, помнишь ли ты номер склада? Или хотя бы дайте мне описание, на основе которого можно работать.
M1895(1)<通讯框><Speaker>M1895</Speaker>;PM(0)||:Я же говорила тебе. Я сразу же бросилась туда, поэтому не обратила внимания. Снаружи все кишит механическими подразделеними Сангвиса. Я погибну, если выйду!
M1895(1)<通讯框>;PM(0)<Speaker>Макаров</Speaker>||<黑屏1>:(Вздох) Тогда, пожалуйста, ожидай. Мы приедем так быстро, как только сможем.
PM(0)<Speaker>Макаров</Speaker>||<黑屏2><BIN>10</BIN>:В любом случае, давайте сделаем следующий шаг.+Поскольку основные силы Грифона участвуют в военной операции, нам не хватает персонала.+Мы должны объединиться с Т-Куклами, размещенными в этом районе, и рассчитывать на их помощь.+Командир, пожалуйста, направляйте нас в путь.
