()||<BIN>22</BIN><BGM>BGM_Room</BGM>:Завод, штаб-квартира Грифона...
NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Мистер Крюгер, результаты анализа готовы.+Информация, оставленная AR-15, совпадает с предыдущей находкой Отряда 404.
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:Похоже, Сангвисс Ферри намерен уничтожить Грифон раз и навсегда с помощью своего следующего проекта.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Так скоро? Мне трудно поверить, что у них есть столько Т-Кукол в запасе.
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:Им не нужны Т-Куклы, Хелиан. У нее в рукаве есть кое-что гораздо более опасное.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Мистер Крюгер... Вы уже так много узнали.+Вы действительно встретили ее в том здании?
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:...+На равнине идет дождь, и параплюй... или зонтик... это ключ к разгадке. +С информацией AR-15 мы теперь можем найти точное местоположение этого Плана Параплюй.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:AR-15...+Она и сейчас делает все возможное, чтобы помочь нам...
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:Она просто выполняет свое предназначение, Хелиан.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Я понимаю, но сейчас я просто немного...
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:У меня нет предубеждения против Т-Кукол, и я очень благодарен за тот долг, который они несут ради человечества.+Я также понимаю, почему некоторые полевые командиры относятся к ним как к себе подобным.+Но как бы вы их ни воспринимали - как инструмент, как друга или как что-то еще...+Когда они попадут под внешний контроль, вам придется сделать выбор.+Прощаться с ними лично или стоять и смотреть, как они увлекают всех за собой в бездну.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Тогда... мы выбираем...
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||:Дай ему еще немного времени, Хелиан. Выбор не за нами. Командиру еще требуется время.
NPC-Kyruger(0);NPC-Helian(0)<Speaker>Хелиан</Speaker>||:Это еще один... сеанс консультирования?
NPC-Kyruger(0)<Speaker>Крюгер</Speaker>;NPC-Helian(0)||<黑屏1>:Нет...
Kyruger()<Speaker>Kyruger</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:На этот раз это испытание.+Хелиан, проверь состав наших Т-Кукол. Сообщи обо всех, кто годен к бою.+Мы должны быть готовы. Теперь наша очередь действовать.
