()||<BIN>22</BIN><BGM>BGM_Sneak</BGM>:...Клик. Запрос связи от Анжелии.
NPC-Ange(0)<Speaker>Анже</Speaker><scan><通讯框>||<BIN>22</BIN>:Итак, что ты нашла?
NPC-Persica(1)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Как ты узнала?
NPC-Persica(1);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Ты не связывалась со мной уже полчаса. Наверное, ты что-то нашла.+Бронированные подразделения военных всё ещё на месте, и это меня очень беспокоит...
NPC-Persica(1)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Разве это плохо?
NPC-Persica(1);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Военные никогда не делали ничего хорошего по своей инициативе. У них наверняка есть какой-то другой план. +Этот Егор до сих пор на поле боя. Уверена, он что-то замышляет.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Не переживай об этом. Твоя работа будет сделана лишь наполовину, когда ты получишь все данные, верно?
NPC-Persica(3);NPC-Ange(0))<Speaker>Анже</Speaker>||<BIN>22</BIN>:Я не из тех, кто делает всё наполовину, и в окрестностях больше нет данных, которые можно было бы найти. +В конце концов... нам даже удалось заполучить центральный сервер для военного театра. Наша миссия идёт слишком хорошо...
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Анже... +Ты взломала сервер театра?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Что? Конечно, нет. + К тому времени, как мы туда добрались, кто-то уже взломал брандмауэр.
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:...Ты не размышляла о причинах этого?
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Я же говорила, у нас тогда не было времени об этом думать... +В любом случае, скорее всего, военные забыли об этом во время отступления, а потом Параплюй взломал и вскрыл его, верно? +Хотя трудно представить, что С.Ф. способен взломать важный военный сервер...
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Взломан Параплюй... +Нет, это вряд ли. Даже стандартные военные брандмауэры не под силу С.Ф.
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Так ты хочешь сказать, что не Сангвис Ферри вскрыл брандмауэр? +В тот момент я думала только о том, чтобы остаться в живых, поэтому у меня не было времени об этом размышлять.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Если это не они и не мы, то это может быть только...
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Давайте посмотрим на это с другой стороны и подумаем... +Интересно, я попробую! +Если это военные сами открыли брандмауэр, и все это было частью их плана... это имеет смысл?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Помнишь, что они сделали во время совместной операции?+Военные ворвались внутрь, и тогда Сангвис Ферри был вынужден полностью активировать Параплюй.
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Ты хочешь сказать..., что они специально дали Параплюй распространиться? Что им это даст?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Владыка может видеть и управлять всем, что заражено Параплюй, будь то Кукла или сервер. +А потом военные специально подвергли свой сервер воздействию Параплюй, чтобы Владыка могла увидеть его содержимое... +Но что Военные хотели ей показать...? +Нет... Я ничего не могу придумать. У меня недостаточно зацепок...
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Персика, попробуй посмотреть на это с другой стороны. +То, что военные хотели показать Владыке Ума, было просто приманкой. Цель была заставить Владыку « заглянуть». +Это даёт тебе какие-нибудь идеи?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Военные... пригласили Владыку на свой сервер? +Какая от этого польза...?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Персика, давай собери воедино цели Военных и подумай над этим. +Военные хотят OGAS, и, судя по нашей информации, мы можем считать OGAS и Владыку единой сущностью, так что, скорее всего, именно таким подходом Военные и руководствуются, чтобы поймать Владыку...
NPC-Persica(1)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN><震屏>:...!
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Анже... А что, если... что, если у Военных тоже есть Параплюй или какой-то более крутой способ электронного контроля, чем вирус Параплюй?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Более мощный метод...?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Это вполне возможно. Они же опытные ветераны в области радиоэлектронной борьбы. Давайте назовем их версию Супер Параплюй.
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Дай-ка подумать... +Военные заставляют Владыку использовать Параплюй, из-за чего она находит центральный сервер, который военные специально открыли для неё... +После этого Владыка думает, что успешно заразила сервер, и идёт дальше, взламывая театральный сервер, чтобы управлять военными подразделениями. +Тогда военные используют свой Супер-Параплюй, чтобы затопить заражённые сектора Владыки, а это значит, что они могут...
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Изменить направление соединения...
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN><震屏>:Точно! Они используют соединение, чтобы взломать Владыку с помощью своего Супер Параплюй!
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Обратный взлом?!+Ты хочешь сказать, что Военные хотят... напрямую управлять Владыкой?!+Это план Военных? Просто контролировать Владыку из С.Ф.?!
