UMP45(2)<Speaker>UMP45</Speaker>||<BIN>10</BIN>:Мисс Хелиан, вы слышите? +С.Ф. обнаружил нас. Каков статус спасательной группы?
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:Погодные условия улучшаются. +Вертолетные площадки в этом районе полностью готовы к работе.
HK416(2)<Speaker>416</Speaker>||:Наконец-то хорошие новости.
M16(0)<Speaker>M16A1</Speaker>||:Значит, мы можем пользоваться вертолетными площадками в любое время, верно?
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:Да, но только в этом районе. +Наш спасательный отряд прибудет позже, чем ожидалось, так как мобилизация таких крупных сил препятствует нашей эффективности.
UMP9(2)<Speaker>UMP9</Speaker>||:А? Разве вы не могли бы сначала послать нам на помощь отряд?
NPC-Helian(0)<Speaker>Хелиан</Speaker><通讯框>||:Наша разведгруппа обнаружила новые силы Сангвиса поблизости. +С большой долей вероятности они являются резервным подразделением Сангвиса, поэтому просто так выдвигаться к ним очень рискованно. +Свяжитесь со мной снова, когда вы разработаете конкретный план. Мы сделаем все возможное, чтобы скоординировать с вами свои действия.
()||:Соединение разорвано.
G11(2)<Speaker>Gr G11</Speaker>||:Значит... если мы не поторопимся, нас окружат?
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Тогда давайте просто побежим туда!
RO635(0)<Speaker>RO635</Speaker>||:Мы израсходовали слишком много запасов. +Прорваться через базу Сангвиса в нашем нынешнем состоянии будет невероятно сложно, особенно если учесть, что придется сражаться с двумя командирами.
UMP45(0)<Speaker>UMP45</Speaker>||:Я знаю, где в этом районе находится аванпост снабжения, но дорога туда займет некоторое время. +Кроме того, если командир Сангвиса решит активно нас искать...
M1887(0)<Speaker>M1887</Speaker>||:Положитесь на нас. Мы задержим окружающие силы. +Наш самолет был сбит Юпитером примерно здесь, так что мы знаем эту местность. +И мы полагались на ваше командование на протяжении всей операции. Мы тоже хотим быть полезными.
RO635(0)<Speaker>RO635</Speaker>||:... +Я поняла. Тогда, пожалуйста, одолжи мне свою силу.
RO635(0)<Speaker>RO635</Speaker>||:45-я, пожалуйста, укажите мне кратчайший маршрут до заставы снабжения. +Мы немедленно выдвигаемся.
()||:【СОВЕТ】Использование вертолетных площадок в этом районе (относится только к карте 3-3 в операции "Арктическая война") не ограничивается очередью.
